scheme,method,rmse_deg
phase1e_nula_coherent_no_lrmc_t200,music,26.19464999763801
phase1e_nula_coherent_no_lrmc_t200,esprit,30.961830522034532
phase1e_nula_coherent_no_lrmc_t200,r-music,31.143703546775384
phase1e_nula_coherent_lrmc_lag_t200,music,10.302565520728743
phase1e_nula_coherent_lrmc_lag_t200,esprit,10.10740122137859
phase1e_nula_coherent_lrmc_lag_t200,r-music,9.95525235959837
phase1e_nula_coherent_lrmc_zero_t200,music,10.302565520728743
phase1e_nula_coherent_lrmc_zero_t200,esprit,10.10740122137859
phase1e_nula_coherent_lrmc_zero_t200,r-music,9.95525235959837
phase1e_nula_coherent_lrmc_neighbor_t200,music,11.66033015727017
phase1e_nula_coherent_lrmc_neighbor_t200,esprit,11.116016128042883
phase1e_nula_coherent_lrmc_neighbor_t200,r-music,11.202516057309257
phase1e_nula_coherent_lrmc_random_t200,music,10.506854784064602
phase1e_nula_coherent_lrmc_random_t200,esprit,10.171472482240405
phase1e_nula_coherent_lrmc_random_t200,r-music,9.862536076776099
