scheme,method,rmse_deg
phase1f_nula_coherent_no_lrmc_t200,music,26.19464999763801
phase1f_nula_coherent_no_lrmc_t200,esprit,30.961830522034532
phase1f_nula_coherent_no_lrmc_t200,r-music,31.143703546775384
phase1f_nula_coherent_lrmc_none_t200,music,10.302565520728743
phase1f_nula_coherent_lrmc_none_t200,esprit,10.10740122137859
phase1f_nula_coherent_lrmc_none_t200,r-music,9.95525235959837
phase1f_nula_coherent_lrmc_fba_t200,music,10.39466694561575
phase1f_nula_coherent_lrmc_fba_t200,esprit,10.107401221378591
phase1f_nula_coherent_lrmc_fba_t200,r-music,9.88654847815495
phase1f_nula_coherent_lrmc_ss_t200,music,10.46184244228678
phase1f_nula_coherent_lrmc_ss_t200,esprit,10.196265645028644
phase1f_nula_coherent_lrmc_ss_t200,r-music,10.308484536078973
phase1f_nula_coherent_lrmc_fba_ss_t200,music,10.46184244228678
phase1f_nula_coherent_lrmc_fba_ss_t200,esprit,10.196265645028642
phase1f_nula_coherent_lrmc_fba_ss_t200,r-music,10.308484536079007
