scheme,method,rmse_deg
phase1b_nula_coherent_no_lrmc_t200,music,26.19464999763801
phase1b_nula_coherent_no_lrmc_t200,esprit,30.961830522034532
phase1b_nula_coherent_no_lrmc_t200,r-music,31.143703546775384
phase1b_nula_coherent_lrmc_rank2_t200,music,13.692241524987942
phase1b_nula_coherent_lrmc_rank2_t200,esprit,12.833928815127885
phase1b_nula_coherent_lrmc_rank2_t200,r-music,12.552478075333728
phase1b_nula_coherent_lrmc_rank3_t200,music,11.705147567108137
phase1b_nula_coherent_lrmc_rank3_t200,esprit,10.240310908425279
phase1b_nula_coherent_lrmc_rank3_t200,r-music,10.521451762743954
phase1b_nula_coherent_lrmc_rank4_t200,music,15.274960883390385
phase1b_nula_coherent_lrmc_rank4_t200,esprit,15.981365521557949
phase1b_nula_coherent_lrmc_rank4_t200,r-music,15.394790709722832
phase1b_nula_coherent_lrmc_rank5_t200,music,15.91009363366404
phase1b_nula_coherent_lrmc_rank5_t200,esprit,16.21167554266896
phase1b_nula_coherent_lrmc_rank5_t200,r-music,16.351350671136785
