scheme,method,rmse_deg
phase1_nula_coherent_no_lrmc_t50,music,24.24129525298409
phase1_nula_coherent_no_lrmc_t50,esprit,30.936509479560755
phase1_nula_coherent_no_lrmc_t50,r-music,31.074228759078924
phase1_nula_coherent_lrmc_t50,music,11.779670406107456
phase1_nula_coherent_lrmc_t50,esprit,10.651149493093438
phase1_nula_coherent_lrmc_t50,r-music,10.968163750606172
phase1_nula_coherent_no_lrmc_t100,music,26.25463707064719
phase1_nula_coherent_no_lrmc_t100,esprit,31.284757212571343
phase1_nula_coherent_no_lrmc_t100,r-music,31.66429149590196
phase1_nula_coherent_lrmc_t100,music,12.334350728887136
phase1_nula_coherent_lrmc_t100,esprit,10.927806963031214
phase1_nula_coherent_lrmc_t100,r-music,11.48584468436052
phase1_nula_coherent_no_lrmc_t200,music,26.19464999763801
phase1_nula_coherent_no_lrmc_t200,esprit,30.961830522034532
phase1_nula_coherent_no_lrmc_t200,r-music,31.143703546775384
phase1_nula_coherent_lrmc_t200,music,11.705147567108137
phase1_nula_coherent_lrmc_t200,esprit,10.240310908425279
phase1_nula_coherent_lrmc_t200,r-music,10.521451762743954
phase1_nula_coherent_no_lrmc_t400,music,25.80869666900233
phase1_nula_coherent_no_lrmc_t400,esprit,31.267062302635395
phase1_nula_coherent_no_lrmc_t400,r-music,31.6898284081072
phase1_nula_coherent_lrmc_t400,music,11.743133571883861
phase1_nula_coherent_lrmc_t400,esprit,10.643382940907339
phase1_nula_coherent_lrmc_t400,r-music,10.962319775918058
