scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase2h_groupa_0p5_fixelev_baseline,music,9.74261489690639,0.07155884395604413,,,,,,
phase2h_groupa_0p5_fixelev_baseline,esprit,26.088477772639678,0.000444736752136946,,,,,,
phase2h_groupa_0p5_fixelev_baseline,r-music,26.59864259544627,0.0005576616605617096,,,,,,
phase2h_groupa_0p5_fixelev_ss_only,music,9.8182096071782,0.07158321025641029,,,,,,
phase2h_groupa_0p5_fixelev_ss_only,esprit,26.840930211173056,0.0004731865689872098,,,,,,
phase2h_groupa_0p5_fixelev_ss_only,r-music,27.419869626548078,0.0005900880341883425,,,,,,
phase2h_groupa_0p5_fixelev_lrmc_only,music,7.235677077048244,0.09010534041514055,0.016968346886446564,94.61538461538461,0.18925518925518925,1.9571682017793798e-17,1e-08,9.999705638937447e-09
phase2h_groupa_0p5_fixelev_lrmc_only,esprit,1.1037593170674846,0.017952619169719155,0.01656528937728999,94.61538461538461,0.18925518925518925,1.9571682017793798e-17,1e-08,9.999705638937447e-09
phase2h_groupa_0p5_fixelev_lrmc_only,r-music,2.228596155978776,0.01797236666666672,0.016204699877899097,94.61538461538461,0.18925518925518925,1.9571682017793798e-17,1e-08,9.999705638937447e-09
phase2h_groupa_0p5_fixelev_ss_lrmc,music,6.918124647261482,0.09061074236874156,0.016648768131868486,93.33699633699634,0.20146520146520147,1.6274985284368915e-17,1e-08,9.999703833116393e-09
phase2h_groupa_0p5_fixelev_ss_lrmc,esprit,1.0610899799257472,0.017899827106227586,0.016388610256410297,93.33699633699634,0.20146520146520147,1.6274985284368915e-17,1e-08,9.999703833116393e-09
phase2h_groupa_0p5_fixelev_ss_lrmc,r-music,2.326445667301403,0.018146666666666048,0.01621863956043932,93.33699633699634,0.20146520146520147,1.6274985284368915e-17,1e-08,9.999703833116393e-09
phase2h_groupa_0p5_fixelev_lrmc_ss,music,9.561243462020178,0.12340010305250261,0.05003169609279694,94.73992673992674,0.1452991452991453,1.8972845300184953e-17,1e-08,9.999649278387295e-09
phase2h_groupa_0p5_fixelev_lrmc_ss,esprit,1.316871506509472,0.05280271721611734,0.04945408400488405,94.73992673992674,0.1452991452991453,1.8972845300184953e-17,1e-08,9.999649278387295e-09
phase2h_groupa_0p5_fixelev_lrmc_ss,r-music,1.6720336721970135,0.05279064297924241,0.04929404810744558,94.73992673992674,0.1452991452991453,1.8972845300184953e-17,1e-08,9.999649278387295e-09
phase2h_groupb_0p5_fixelev_baseline,music,11.990493590484121,0.07019633797314004,,,,,,
phase2h_groupb_0p5_fixelev_baseline,esprit,27.221083971449023,0.00043760622710638865,,,,,,
phase2h_groupb_0p5_fixelev_baseline,r-music,26.342885580583573,0.0005704532356554283,,,,,,
phase2h_groupb_0p5_fixelev_ss_only,music,10.508092939346286,0.07042038864468826,,,,,,
phase2h_groupb_0p5_fixelev_ss_only,esprit,16.74102129470215,0.0004861252747211635,,,,,,
phase2h_groupb_0p5_fixelev_ss_only,r-music,15.965929243047693,0.0007217603174603549,,,,,,
phase2h_groupb_0p5_fixelev_lrmc_only,music,21.54004260825965,0.08769876288156186,0.014353430036628255,82.21245421245422,0.4004884004884005,2.4557965028263695e-17,1e-08,9.999718690517876e-09
phase2h_groupb_0p5_fixelev_lrmc_only,esprit,32.62591226386129,0.016078644932845953,0.01472311538461737,82.21245421245422,0.4004884004884005,2.4557965028263695e-17,1e-08,9.999718690517876e-09
phase2h_groupb_0p5_fixelev_lrmc_only,r-music,32.22021077838171,0.016268442857143375,0.014500892551891673,82.21245421245422,0.4004884004884005,2.4557965028263695e-17,1e-08,9.999718690517876e-09
phase2h_groupb_0p5_fixelev_ss_lrmc,music,22.746869211456907,0.08960051868131921,0.016562547619049014,94.95726495726495,0.23565323565323565,2.3967517396766434e-17,1e-08,9.999748821148998e-09
phase2h_groupb_0p5_fixelev_ss_lrmc,esprit,39.454572240309396,0.01822442600732823,0.016747590842490317,94.95726495726495,0.23565323565323565,2.3967517396766434e-17,1e-08,9.999748821148998e-09
phase2h_groupb_0p5_fixelev_ss_lrmc,r-music,39.03001715822757,0.01829516800977096,0.016408266178267246,94.95726495726495,0.23565323565323565,2.3967517396766434e-17,1e-08,9.999748821148998e-09
phase2h_groupb_0p5_fixelev_lrmc_ss,music,28.612306455496604,0.11977336019535978,0.04684337203907095,86.88888888888889,0.02197802197802198,2.4786855977879162e-17,1e-08,9.999636081362416e-09
phase2h_groupb_0p5_fixelev_lrmc_ss,esprit,35.56304286143036,0.048848878632478714,0.04542338559218227,86.88888888888889,0.02197802197802198,2.4786855977879162e-17,1e-08,9.999636081362416e-09
phase2h_groupb_0p5_fixelev_lrmc_ss,r-music,34.97607964506637,0.04917545885225955,0.04561816776556853,86.88888888888889,0.02197802197802198,2.4786855977879162e-17,1e-08,9.999636081362416e-09
phase2h_groupa_1p9_fixelev_baseline,music,4.878132279233602,0.07100646117215997,,,,,,
phase2h_groupa_1p9_fixelev_baseline,esprit,6.543192825463923,0.00039692454213189867,,,,,,
phase2h_groupa_1p9_fixelev_baseline,r-music,6.465800841417294,0.0005587568986541825,,,,,,
phase2h_groupa_1p9_fixelev_ss_only,music,5.221043419664705,0.0708561236874241,,,,,,
phase2h_groupa_1p9_fixelev_ss_only,esprit,6.494362054168198,0.00047077472527151643,,,,,,
phase2h_groupa_1p9_fixelev_ss_only,r-music,6.692349767737409,0.0006185904761957592,,,,,,
phase2h_groupa_1p9_fixelev_lrmc_only,music,3.0281111969544408,0.09022199169718852,0.016972722710622078,95.41514041514041,0.0927960927960928,2.6945484785358838e-17,1e-08,9.999767922761788e-09
phase2h_groupa_1p9_fixelev_lrmc_only,esprit,3.1751867667893436,0.018205390964591568,0.01671395006105207,95.41514041514041,0.0927960927960928,2.6945484785358838e-17,1e-08,9.999767922761788e-09
phase2h_groupa_1p9_fixelev_lrmc_only,r-music,2.9245018521357724,0.018681830280830737,0.016797143223443743,95.41514041514041,0.0927960927960928,2.6945484785358838e-17,1e-08,9.999767922761788e-09
phase2h_groupa_1p9_fixelev_ss_lrmc,music,2.9921165584613427,0.08984866312577237,0.016683710256411882,95.14774114774114,0.09768009768009768,2.2105310985907596e-17,1e-08,9.999749994758239e-09
phase2h_groupa_1p9_fixelev_ss_lrmc,esprit,3.1877764841607084,0.017828755677659926,0.01636628803418491,95.14774114774114,0.09768009768009768,2.2105310985907596e-17,1e-08,9.999749994758239e-09
phase2h_groupa_1p9_fixelev_ss_lrmc,r-music,3.0211686544659817,0.01828726227106247,0.016508844322339303,95.14774114774114,0.09768009768009768,2.2105310985907596e-17,1e-08,9.999749994758239e-09
phase2h_groupa_1p9_fixelev_lrmc_ss,music,2.6676663919791297,0.1300417175824168,0.05394410268620524,95.41758241758242,0.0757020757020757,2.61934357586008e-17,1e-08,9.999727377535764e-09
phase2h_groupa_1p9_fixelev_lrmc_ss,esprit,2.808450952182303,0.05339765763126038,0.04991957338217136,95.41758241758242,0.0757020757020757,2.61934357586008e-17,1e-08,9.999727377535764e-09
phase2h_groupa_1p9_fixelev_lrmc_ss,r-music,2.8465387619726976,0.05367453443223618,0.05009363663003387,95.41758241758242,0.0757020757020757,2.61934357586008e-17,1e-08,9.999727377535764e-09
