scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase2g_groupa_0p5_baseline,music,9.820435660618951,0.08445921709401708,,,,,,
phase2g_groupa_0p5_baseline,esprit,26.574729810680726,0.00046737765567802294,,,,,,
phase2g_groupa_0p5_baseline,r-music,26.85162733547259,0.0005001974358971247,,,,,,
phase2g_groupa_0p5_ss_only,music,0.4915311818876734,0.07652426349206358,,,,,,
phase2g_groupa_0p5_ss_only,esprit,17.652321515229577,0.0005651708180707173,,,,,,
phase2g_groupa_0p5_ss_only,r-music,15.983783990912793,0.0006353560439558872,,,,,,
phase2g_groupa_0p5_lrmc_only,music,12.699318461414935,0.0932728542124543,0.01674865616605559,95.001221001221,0.14163614163614163,2.011501898154909e-17,1e-08,9.999703035400676e-09
phase2g_groupa_0p5_lrmc_only,esprit,9.254561011243286,0.018000465934064565,0.016627449572649226,95.001221001221,0.14163614163614163,2.011501898154909e-17,1e-08,9.999703035400676e-09
phase2g_groupa_0p5_lrmc_only,r-music,8.448214265249964,0.018507874725275184,0.016712017216117307,95.001221001221,0.14163614163614163,2.011501898154909e-17,1e-08,9.999703035400676e-09
phase2g_groupa_0p5_ss_lrmc,music,7.423128943383966,0.09465494847374738,0.017175069719170308,94.90720390720391,0.15995115995115994,1.7076813969681867e-17,1e-08,9.999746399390143e-09
phase2g_groupa_0p5_ss_lrmc,esprit,1.31196340550536,0.018394209401707894,0.01686306910866963,94.90720390720391,0.15995115995115994,1.7076813969681867e-17,1e-08,9.999746399390143e-09
phase2g_groupa_0p5_ss_lrmc,r-music,2.171395171269369,0.019299278754577716,0.01736180757020738,94.90720390720391,0.15995115995115994,1.7076813969681867e-17,1e-08,9.999746399390143e-09
phase2g_groupa_0p5_lrmc_ss,music,10.533805939921631,0.13587029926739821,0.05513472124542113,95.02442002442002,0.031746031746031744,1.9268102281541125e-17,1e-08,9.99967036063002e-09
phase2g_groupa_0p5_lrmc_ss,esprit,2.2650608705634214,0.06345880610500795,0.059373734920633796,95.02442002442002,0.031746031746031744,1.9268102281541125e-17,1e-08,9.99967036063002e-09
phase2g_groupa_0p5_lrmc_ss,r-music,2.411907197631782,0.055720153724054214,0.051990066056166205,95.02442002442002,0.031746031746031744,1.9268102281541125e-17,1e-08,9.99967036063002e-09
phase2g_groupb_0p5_baseline,music,9.020369356431656,0.0760432166056173,,,,,,
phase2g_groupb_0p5_baseline,esprit,27.053401883244288,0.000429953724055605,,,,,,
phase2g_groupb_0p5_baseline,r-music,26.304010692127186,0.0006541778998783832,,,,,,
phase2g_groupb_0p5_ss_only,music,0.1451019688232978,0.07597101306471256,,,,,,
phase2g_groupb_0p5_ss_only,esprit,16.384953285348544,0.0004926018314994279,,,,,,
phase2g_groupb_0p5_ss_only,r-music,15.659537572341048,0.0007286152625135952,,,,,,
phase2g_groupb_0p5_lrmc_only,music,11.627132092059773,0.10489495384615233,0.019429412820511253,96.65445665445665,0.0989010989010989,2.297654951605959e-17,1e-08,9.999755601091126e-09
phase2g_groupb_0p5_lrmc_only,esprit,15.241479065253234,0.021902777411478728,0.020219501221002762,96.65445665445665,0.0989010989010989,2.297654951605959e-17,1e-08,9.999755601091126e-09
phase2g_groupb_0p5_lrmc_only,r-music,14.400610004228835,0.021835920634923633,0.01970892857142865,96.65445665445665,0.0989010989010989,2.297654951605959e-17,1e-08,9.999755601091126e-09
phase2g_groupb_0p5_ss_lrmc,music,6.7063122777400705,0.10489429401709446,0.019194462637362172,96.83516483516483,0.12454212454212454,2.1047967528831394e-17,1e-08,9.999786358123983e-09
phase2g_groupb_0p5_ss_lrmc,esprit,6.796602959739613,0.020166904151403285,0.018546369719168846,96.83516483516483,0.12454212454212454,2.1047967528831394e-17,1e-08,9.999786358123983e-09
phase2g_groupb_0p5_ss_lrmc,r-music,5.027894542281637,0.019790937606837575,0.01781256312576177,96.83516483516483,0.12454212454212454,2.1047967528831394e-17,1e-08,9.999786358123983e-09
phase2g_groupb_0p5_lrmc_ss,music,15.464139478240217,0.13758463003662744,0.054254895482299045,93.66056166056165,0.014652014652014652,2.236513299048671e-17,1e-08,9.999743083659589e-09
phase2g_groupb_0p5_lrmc_ss,esprit,8.39066923347319,0.05498637887668006,0.05135986056166131,93.66056166056165,0.014652014652014652,2.236513299048671e-17,1e-08,9.999743083659589e-09
phase2g_groupb_0p5_lrmc_ss,r-music,8.421171697149841,0.06727697936507455,0.0626074086691065,93.66056166056165,0.014652014652014652,2.236513299048671e-17,1e-08,9.999743083659589e-09
phase2g_groupa_1p9_baseline,music,6.304091777541291,0.08677390634920451,,,,,,
phase2g_groupa_1p9_baseline,esprit,6.854102707053972,0.00038196788766351977,,,,,,
phase2g_groupa_1p9_baseline,r-music,6.796255846770357,0.0006991340659378838,,,,,,
phase2g_groupa_1p9_ss_only,music,0.1427642632957011,0.08608792478632692,,,,,,
phase2g_groupa_1p9_ss_only,esprit,6.04071339311192,0.0005451710622674443,,,,,,
phase2g_groupa_1p9_ss_only,r-music,6.836001675456991,0.0008728260073274279,,,,,,
phase2g_groupa_1p9_lrmc_only,music,4.726995132394436,0.10320388217338494,0.01890148058607551,93.95482295482296,0.1623931623931624,2.6404790613160444e-17,1e-08,9.99973975468616e-09
phase2g_groupa_1p9_lrmc_only,esprit,5.167199103644943,0.018757420268614416,0.017305662026859656,93.95482295482296,0.1623931623931624,2.6404790613160444e-17,1e-08,9.99973975468616e-09
phase2g_groupa_1p9_lrmc_only,r-music,4.879715135485572,0.019833039316237942,0.01789348742368914,93.95482295482296,0.1623931623931624,2.6404790613160444e-17,1e-08,9.99973975468616e-09
phase2g_groupa_1p9_ss_lrmc,music,1.1022067866177974,0.10470816214896501,0.0191197051282059,97.03540903540903,0.12332112332112333,2.540602216516192e-17,1e-08,9.999756289726898e-09
phase2g_groupa_1p9_ss_lrmc,esprit,1.3660713908775928,0.020812246764344577,0.019189131746026974,97.03540903540903,0.12332112332112333,2.540602216516192e-17,1e-08,9.999756289726898e-09
phase2g_groupa_1p9_ss_lrmc,r-music,1.2830079799462757,0.021497196825394995,0.019416662393168835,97.03540903540903,0.12332112332112333,2.540602216516192e-17,1e-08,9.999756289726898e-09
phase2g_groupa_1p9_lrmc_ss,music,2.4326894852367795,0.14465501440781292,0.05740362283272789,94.3040293040293,0.008547008547008548,2.5891755310471282e-17,1e-08,9.999734291009261e-09
phase2g_groupa_1p9_lrmc_ss,esprit,2.491699250448186,0.05440531501832057,0.05072859780219941,94.3040293040293,0.008547008547008548,2.5891755310471282e-17,1e-08,9.999734291009261e-09
phase2g_groupa_1p9_lrmc_ss,r-music,2.4252693085966484,0.06212406153845911,0.0578158818070722,94.3040293040293,0.008547008547008548,2.5891755310471282e-17,1e-08,9.999734291009261e-09
phase2g_groupb_1p9_baseline,music,6.274241861762502,0.07986487692307594,,,,,,
phase2g_groupb_1p9_baseline,esprit,7.012420078456057,0.0004316218559259661,,,,,,
phase2g_groupb_1p9_baseline,r-music,6.8378956378153015,0.0006947650793619655,,,,,,
phase2g_groupb_1p9_ss_only,music,0.165914272289978,0.0829363824175844,,,,,,
phase2g_groupb_1p9_ss_only,esprit,5.692678956158755,0.0005704484737456395,,,,,,
phase2g_groupb_1p9_ss_only,r-music,6.822091491815262,0.0008865749694756583,,,,,,
phase2g_groupb_1p9_lrmc_only,music,4.620084896063226,0.10165990647131086,0.019107677167274118,97.77533577533578,0.08180708180708181,2.8057257730879546e-17,1e-08,9.9996906265241e-09
phase2g_groupb_1p9_lrmc_only,esprit,4.889684239502662,0.020639797802197928,0.019115134188038563,97.77533577533578,0.08180708180708181,2.8057257730879546e-17,1e-08,9.9996906265241e-09
phase2g_groupb_1p9_lrmc_only,r-music,4.708294689125151,0.02018548192918099,0.018234450183146615,97.77533577533578,0.08180708180708181,2.8057257730879546e-17,1e-08,9.9996906265241e-09
phase2g_groupb_1p9_ss_lrmc,music,1.7330519869374945,0.09907991978021168,0.01788531416360635,97.86324786324786,0.09401709401709402,2.6205890954869153e-17,1e-08,9.999626801907558e-09
phase2g_groupb_1p9_ss_lrmc,esprit,2.035855111201405,0.019534095238101207,0.01796245323565337,97.86324786324786,0.09401709401709402,2.6205890954869153e-17,1e-08,9.999626801907558e-09
phase2g_groupb_1p9_ss_lrmc,r-music,1.8003174430223503,0.019702273748470903,0.01776903894994183,97.86324786324786,0.09401709401709402,2.6205890954869153e-17,1e-08,9.999626801907558e-09
phase2g_groupb_1p9_lrmc_ss,music,3.103497701426678,0.1354839063492197,0.05443725567765663,95.28327228327228,0.007326007326007326,2.7040010068048836e-17,1e-08,9.9996906265241e-09
phase2g_groupb_1p9_lrmc_ss,esprit,3.264578453578004,0.06163758925519606,0.057588933821730186,95.28327228327228,0.007326007326007326,2.7040010068048836e-17,1e-08,9.9996906265241e-09
phase2g_groupb_1p9_lrmc_ss,r-music,3.245527000242752,0.061020485714277733,0.05678925482294496,95.28327228327228,0.007326007326007326,2.7040010068048836e-17,1e-08,9.9996906265241e-09
phase2g_groupc_0p5_baseline,music,9.804561331011984,0.08276580683760475,,,,,,
phase2g_groupc_0p5_baseline,esprit,27.250253890134665,0.000628617582417455,,,,,,
phase2g_groupc_0p5_baseline,r-music,26.5562676773375,0.0005897321123287732,,,,,,
phase2g_groupc_0p5_ss_only,music,0.5845171285358971,0.08949892503051993,,,,,,
phase2g_groupc_0p5_ss_only,esprit,16.743245695905333,0.0006267438339331402,,,,,,
phase2g_groupc_0p5_ss_only,r-music,16.054368689019153,0.0007038594627558892,,,,,,
phase2g_groupc_0p5_lrmc_only,music,12.153643043066424,0.09950906739926205,0.017887328327246967,95.47252747252747,0.13797313797313798,2.1196129443139243e-17,1e-08,9.999671451163963e-09
phase2g_groupc_0p5_lrmc_only,esprit,16.21057281863411,0.019553500610494094,0.018016775946273038,95.47252747252747,0.13797313797313798,2.1196129443139243e-17,1e-08,9.999671451163963e-09
phase2g_groupc_0p5_lrmc_only,r-music,14.437584407373466,0.021025204761900746,0.018963819169729258,95.47252747252747,0.13797313797313798,2.1196129443139243e-17,1e-08,9.999671451163963e-09
phase2g_groupc_0p5_ss_lrmc,music,12.071539327491026,0.09639345421244795,0.01771202967033071,96.4017094017094,0.10256410256410256,2.0024146254369395e-17,1e-08,9.999756823027225e-09
phase2g_groupc_0p5_ss_lrmc,esprit,13.857805810236966,0.01937468632478592,0.01785573406592699,96.4017094017094,0.10256410256410256,2.0024146254369395e-17,1e-08,9.999756823027225e-09
phase2g_groupc_0p5_ss_lrmc,r-music,12.29000399728114,0.01962036642246317,0.017682150671544095,96.4017094017094,0.10256410256410256,2.0024146254369395e-17,1e-08,9.999756823027225e-09
phase2g_groupc_0p5_lrmc_ss,music,20.424837315614532,0.13390375457875575,0.054163511721596405,96.34920634920636,0.01098901098901099,2.1931873345801448e-17,1e-08,9.999671451163963e-09
phase2g_groupc_0p5_lrmc_ss,esprit,12.755336395231083,0.0565592405372298,0.052923753846163414,96.34920634920636,0.01098901098901099,2.1931873345801448e-17,1e-08,9.999671451163963e-09
phase2g_groupc_0p5_lrmc_ss,r-music,12.947733902455624,0.05703828009767614,0.05316614639803123,96.34920634920636,0.01098901098901099,2.1931873345801448e-17,1e-08,9.999671451163963e-09
phase2g_groupc_1p9_baseline,music,6.312921161029528,0.07622295689866355,,,,,,
phase2g_groupc_1p9_baseline,esprit,6.562032841069111,0.0004023752136808436,,,,,,
phase2g_groupc_1p9_baseline,r-music,6.675117654840966,0.0006360197802332794,,,,,,
phase2g_groupc_1p9_ss_only,music,0.16220481653552357,0.076416068253957,,,,,,
phase2g_groupc_1p9_ss_only,esprit,5.679519377676424,0.0005447395604426123,,,,,,
phase2g_groupc_1p9_ss_only,r-music,6.764569386897281,0.0007408886446940662,,,,,,
phase2g_groupc_1p9_lrmc_only,music,4.5425936559656845,0.09623573968254441,0.017279626617827653,94.38095238095238,0.1562881562881563,2.6985208647423722e-17,1e-08,9.999765844690934e-09
