scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase2g_groupa_0p5_baseline,music,0.11780463524142425,0.08301280769230764,,,,,,
phase2g_groupa_0p5_baseline,esprit,17.357463679098583,0.00048107106227095956,,,,,,
phase2g_groupa_0p5_baseline,r-music,15.733552322948162,0.0008765758241758214,,,,,,
phase2g_groupa_0p5_ss_only,music,0.13527608087128645,0.08073510341880326,,,,,,
phase2g_groupa_0p5_ss_only,esprit,17.354576978664678,0.0005273974358983395,,,,,,
phase2g_groupa_0p5_ss_only,r-music,15.730290409088703,0.0006553059829061931,,,,,,
phase2g_groupa_0p5_lrmc_only,music,0.37908448411264556,0.10499072783882744,0.019996378510379043,98.57997557997558,0.09645909645909646,2.0747949439718454e-17,1e-08,9.999866038294479e-09
phase2g_groupa_0p5_lrmc_only,esprit,0.15955057163676517,0.020482505738705442,0.018923339682540105,98.57997557997558,0.09645909645909646,2.0747949439718454e-17,1e-08,9.999866038294479e-09
phase2g_groupa_0p5_lrmc_only,r-music,0.17628863411953077,0.019572099999999593,0.017676138095238426,98.57997557997558,0.09645909645909646,2.0747949439718454e-17,1e-08,9.999866038294479e-09
phase2g_groupa_0p5_ss_lrmc,music,0.23773409910508336,0.09823549059829177,0.018206505494506905,98.36874236874237,0.09523809523809523,1.801086372291094e-17,1e-08,9.999853173817738e-09
phase2g_groupa_0p5_ss_lrmc,esprit,0.1512112456590171,0.019472649694750915,0.017936722832722636,98.36874236874237,0.09523809523809523,1.801086372291094e-17,1e-08,9.999853173817738e-09
phase2g_groupa_0p5_ss_lrmc,r-music,0.16238179619515078,0.0204753655677642,0.018498424175823057,98.36874236874237,0.09523809523809523,1.801086372291094e-17,1e-08,9.999853173817738e-09
phase2g_groupa_0p5_lrmc_ss,music,0.6515575694407618,0.13385814481074518,0.05442598925519048,98.69352869352869,0.002442002442002442,2.105120062068635e-17,1e-08,9.999841913137234e-09
phase2g_groupa_0p5_lrmc_ss,esprit,0.21655481841974208,0.057204842857144216,0.05358985763125841,98.69352869352869,0.002442002442002442,2.105120062068635e-17,1e-08,9.999841913137234e-09
phase2g_groupa_0p5_lrmc_ss,r-music,0.2665856053304076,0.06134350109890021,0.05726221550670845,98.69352869352869,0.002442002442002442,2.105120062068635e-17,1e-08,9.999841913137234e-09
phase2g_groupb_0p5_baseline,music,0.13642225490007429,0.07986214603174609,,,,,,
phase2g_groupb_0p5_baseline,esprit,16.497693057181177,0.0003996581196574086,,,,,,
phase2g_groupb_0p5_baseline,r-music,15.731320788872567,0.0005622247863261408,,,,,,
phase2g_groupb_0p5_ss_only,music,0.115279685886036,0.07616737912088015,,,,,,
phase2g_groupb_0p5_ss_only,esprit,16.497876170054532,0.00048506361416489016,,,,,,
phase2g_groupb_0p5_ss_only,r-music,15.730892537679278,0.0008391594627589453,,,,,,
phase2g_groupb_0p5_lrmc_only,music,0.33806599894236017,0.1006685280830289,0.018684283394383445,98.74603174603175,0.08669108669108669,2.0934123689307044e-17,1e-08,9.9998546970073e-09
phase2g_groupb_0p5_lrmc_only,esprit,0.16048074546105337,0.020013732356532882,0.01848657545787848,98.74603174603175,0.08669108669108669,2.0934123689307044e-17,1e-08,9.9998546970073e-09
phase2g_groupb_0p5_lrmc_only,r-music,0.17655295537179125,0.020537819291818447,0.018570460683761243,98.74603174603175,0.08669108669108669,2.0934123689307044e-17,1e-08,9.9998546970073e-09
phase2g_groupb_0p5_ss_lrmc,music,0.1808551418870887,0.09962742600732734,0.018528968498169332,99.3943833943834,0.03663003663003663,1.7263811040737577e-17,1e-08,9.999851038651778e-09
phase2g_groupb_0p5_ss_lrmc,esprit,0.12207475227872054,0.019173022710621115,0.017661517338216366,99.3943833943834,0.03663003663003663,1.7263811040737577e-17,1e-08,9.999851038651778e-09
phase2g_groupb_0p5_ss_lrmc,r-music,0.12905480493962565,0.019856367521367716,0.017926021245421524,99.3943833943834,0.03663003663003663,1.7263811040737577e-17,1e-08,9.999851038651778e-09
phase2g_groupb_0p5_lrmc_ss,music,0.399393911627195,0.13550404859585016,0.05528225714286159,98.46886446886447,0.002442002442002442,2.052903111615051e-17,1e-08,9.999814047300999e-09
phase2g_groupb_0p5_lrmc_ss,esprit,0.1907417482166614,0.05926899963369318,0.055525218192924254,98.46886446886447,0.002442002442002442,2.052903111615051e-17,1e-08,9.999814047300999e-09
phase2g_groupb_0p5_lrmc_ss,r-music,0.20791269468647255,0.06285121636141239,0.05868320854700379,98.46886446886447,0.002442002442002442,2.052903111615051e-17,1e-08,9.999814047300999e-09
phase2g_groupa_1p9_baseline,music,0.14333986116926015,0.09521802258852628,,,,,,
phase2g_groupa_1p9_baseline,esprit,5.990112109709495,0.0004717891330916363,,,,,,
phase2g_groupa_1p9_baseline,r-music,6.649536305849709,0.000673585958487469,,,,,,
phase2g_groupa_1p9_ss_only,music,0.11449762863314011,0.09236759389499799,,,,,,
phase2g_groupa_1p9_ss_only,esprit,5.984837790296712,0.0006843837606857439,,,,,,
phase2g_groupa_1p9_ss_only,r-music,6.610544036919395,0.0009440551892601299,,,,,,
phase2g_groupa_1p9_lrmc_only,music,0.270561712479967,0.10515204798534725,0.019698128083031112,99.34432234432235,0.05128205128205128,2.851731887926678e-17,1e-08,9.999863413251294e-09
phase2g_groupa_1p9_lrmc_only,esprit,0.2727088394734649,0.019757331746028915,0.018273369230770525,99.34432234432235,0.05128205128205128,2.851731887926678e-17,1e-08,9.999863413251294e-09
phase2g_groupa_1p9_lrmc_only,r-music,0.2705339338280925,0.021953607326002447,0.01985346764347155,99.34432234432235,0.05128205128205128,2.851731887926678e-17,1e-08,9.999863413251294e-09
phase2g_groupa_1p9_ss_lrmc,music,0.36557062928248896,0.10152570268620217,0.019016086691087484,99.74969474969475,0.028083028083028084,2.4177481906791834e-17,1e-08,9.999870731363677e-09
phase2g_groupa_1p9_ss_lrmc,esprit,0.34473311285057845,0.020431572527477893,0.018827008180717295,99.74969474969475,0.028083028083028084,2.4177481906791834e-17,1e-08,9.999870731363677e-09
phase2g_groupa_1p9_ss_lrmc,r-music,0.34731282343166237,0.02199127496947391,0.01986836642246668,99.74969474969475,0.028083028083028084,2.4177481906791834e-17,1e-08,9.999870731363677e-09
phase2g_groupa_1p9_lrmc_ss,music,0.2468091731904709,0.14119095921855898,0.05754847399267143,99.4041514041514,0.002442002442002442,2.909569917859656e-17,1e-08,9.999854750945328e-09
phase2g_groupa_1p9_lrmc_ss,esprit,0.20524375058752134,0.062484262026862365,0.05858053443223978,99.4041514041514,0.002442002442002442,2.909569917859656e-17,1e-08,9.999854750945328e-09
phase2g_groupa_1p9_lrmc_ss,r-music,0.197750837533792,0.06202257289377234,0.05794923040293358,99.4041514041514,0.002442002442002442,2.909569917859656e-17,1e-08,9.999854750945328e-09
phase2g_groupb_1p9_baseline,music,0.14366182378615938,0.08112675885225086,,,,,,
phase2g_groupb_1p9_baseline,esprit,5.489877244273045,0.0004609633699626531,,,,,,
phase2g_groupb_1p9_baseline,r-music,6.622765273435861,0.0005462072039057173,,,,,,
phase2g_groupb_1p9_ss_only,music,0.12112124844725367,0.07756898962148483,,,,,,
phase2g_groupb_1p9_ss_only,esprit,5.510083121580292,0.000477070085469486,,,,,,
phase2g_groupb_1p9_ss_only,r-music,6.598073487620745,0.0006875354090333773,,,,,,
phase2g_groupb_1p9_lrmc_only,music,0.29400184975493177,0.09866958962149129,0.01839454236874306,99.45665445665446,0.03785103785103785,2.7582671580851194e-17,1e-08,9.99987825132637e-09
phase2g_groupb_1p9_lrmc_only,esprit,0.27918365970970277,0.020003097435900244,0.01849014175823919,99.45665445665446,0.03785103785103785,2.7582671580851194e-17,1e-08,9.99987825132637e-09
phase2g_groupb_1p9_lrmc_only,r-music,0.2873901720537091,0.02055536788767286,0.018598476312575905,99.45665445665446,0.03785103785103785,2.7582671580851194e-17,1e-08,9.99987825132637e-09
phase2g_groupb_1p9_ss_lrmc,music,0.30454864944154303,0.10281281550671434,0.019190809768004937,99.72039072039072,0.019536019536019536,2.4004323014679476e-17,1e-08,9.99985152408176e-09
phase2g_groupb_1p9_ss_lrmc,esprit,0.3271666763867003,0.020057061172161286,0.018526447619038548,99.72039072039072,0.019536019536019536,2.4004323014679476e-17,1e-08,9.99985152408176e-09
phase2g_groupb_1p9_ss_lrmc,r-music,0.3264245333162528,0.02021207155067182,0.0182572244200298,99.72039072039072,0.019536019536019536,2.4004323014679476e-17,1e-08,9.99985152408176e-09
phase2g_groupb_1p9_lrmc_ss,music,0.24296603988027488,0.13559486642247393,0.05491400244199256,99.45665445665446,0.001221001221001221,2.782546874597147e-17,1e-08,9.999842469425121e-09
phase2g_groupb_1p9_lrmc_ss,esprit,0.20760991774207085,0.05578927826618372,0.052275957264950254,99.45665445665446,0.001221001221001221,2.782546874597147e-17,1e-08,9.999842469425121e-09
phase2g_groupb_1p9_lrmc_ss,r-music,0.22186299897833048,0.055425080952368214,0.051735691208785205,99.45665445665446,0.001221001221001221,2.782546874597147e-17,1e-08,9.999842469425121e-09
phase2g_groupc_0p5_baseline,music,0.137419669078799,0.07313784004883508,,,,,,
phase2g_groupc_0p5_baseline,esprit,16.497257826541087,0.00041304481074360246,,,,,,
phase2g_groupc_0p5_baseline,r-music,15.727417528772492,0.0005418090354135588,,,,,,
phase2g_groupc_0p5_ss_only,music,0.13531249790657707,0.07435069511600406,,,,,,
phase2g_groupc_0p5_ss_only,esprit,16.496661278960744,0.0005042494505395441,,,,,,
phase2g_groupc_0p5_ss_only,r-music,15.728884985722525,0.0006410686202711769,,,,,,
phase2g_groupc_0p5_lrmc_only,music,0.28709664274558666,0.09339651037850502,0.017370991941399034,98.34432234432235,0.10012210012210013,2.1377081969255862e-17,1e-08,9.999778426626462e-09
phase2g_groupc_0p5_lrmc_only,esprit,0.1599978941866379,0.01869695811964591,0.0172821510378516,98.34432234432235,0.10012210012210013,2.1377081969255862e-17,1e-08,9.999778426626462e-09
phase2g_groupc_0p5_lrmc_only,r-music,0.17769002036512827,0.019040415140412673,0.01722053833943766,98.34432234432235,0.10012210012210013,2.1377081969255862e-17,1e-08,9.999778426626462e-09
phase2g_groupc_0p5_ss_lrmc,music,0.21346118476722023,0.09338720415140499,0.017354504029300943,98.56410256410257,0.09401709401709402,1.82362032969817e-17,1e-08,9.999821873830515e-09
phase2g_groupc_0p5_ss_lrmc,esprit,0.15156527026274938,0.018559303785111204,0.017087824297926983,98.56410256410257,0.09401709401709402,1.82362032969817e-17,1e-08,9.999821873830515e-09
phase2g_groupc_0p5_ss_lrmc,r-music,0.16406830952894796,0.019280905250303848,0.01740957924297789,98.56410256410257,0.09401709401709402,1.82362032969817e-17,1e-08,9.999821873830515e-09
phase2g_groupc_0p5_lrmc_ss,music,0.6499112910954693,0.13639665335774356,0.05645876691085425,98.47374847374847,0.017094017094017096,2.177238144050112e-17,1e-08,9.999778426626462e-09
phase2g_groupc_0p5_lrmc_ss,esprit,0.22885482300489932,0.06285904627593793,0.058802598046389196,98.47374847374847,0.017094017094017096,2.177238144050112e-17,1e-08,9.999778426626462e-09
phase2g_groupc_0p5_lrmc_ss,r-music,0.30859468512580124,0.06118673260072596,0.057131184737482237,98.47374847374847,0.017094017094017096,2.177238144050112e-17,1e-08,9.999778426626462e-09
phase2g_groupc_1p9_baseline,music,0.15059047139600634,0.07621397631256958,,,,,,
phase2g_groupc_1p9_baseline,esprit,5.4962533876219855,0.00039704822955792513,,,,,,
phase2g_groupc_1p9_baseline,r-music,6.619558208440224,0.0007036565323552202,,,,,,
phase2g_groupc_1p9_ss_only,music,0.13025378289542064,0.07633898168498025,,,,,,
phase2g_groupc_1p9_ss_only,esprit,5.506097708711444,0.0005763283272319137,,,,,,
phase2g_groupc_1p9_ss_only,r-music,6.603938178456407,0.0006675130646946635,,,,,,
phase2g_groupc_1p9_lrmc_only,music,0.2645246594139883,0.10568043516482375,0.0202209216117175,99.44200244200245,0.04395604395604396,2.7848586827613046e-17,1e-08,9.999850855089892e-09
phase2g_groupc_1p9_lrmc_only,esprit,0.2849347105202261,0.02368958742369577,0.021905318315018074,99.44200244200245,0.04395604395604396,2.7848586827613046e-17,1e-08,9.999850855089892e-09
phase2g_groupc_1p9_lrmc_only,r-music,0.2638081920028933,0.02207758131867811,0.020094859340667702,99.44200244200245,0.04395604395604396,2.7848586827613046e-17,1e-08,9.999850855089892e-09
phase2g_groupc_1p9_ss_lrmc,music,0.3263875830822105,0.12347650158729569,0.02463527155066722,99.82783882783883,0.015873015873015872,2.507910061646978e-17,1e-08,9.999876187781979e-09
phase2g_groupc_1p9_ss_lrmc,esprit,0.3254025294769111,0.03643382710622427,0.03367918144077567,99.82783882783883,0.015873015873015872,2.507910061646978e-17,1e-08,9.999876187781979e-09
phase2g_groupc_1p9_ss_lrmc,r-music,0.3484539049843417,0.023847813675219695,0.02157410818070606,99.82783882783883,0.015873015873015872,2.507910061646978e-17,1e-08,9.999876187781979e-09
