scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase2b_2d_0p5_baseline,music,23.491633888526177,0.3782987358974368,,,,,,
phase2b_2d_0p5_baseline,esprit,26.574729810680726,0.00040637423687419835,,,,,,
phase2b_2d_0p5_baseline,r-music,26.851627335472596,0.0004760041514043692,,,,,,
phase2b_2d_0p5_ss_only,music,0.8326358174396392,0.3779273713064717,,,,,,
phase2b_2d_0p5_ss_only,esprit,17.652321515229577,0.0004250047619024248,,,,,,
phase2b_2d_0p5_ss_only,r-music,15.983783990912793,0.0005008229548225184,,,,,,
phase2b_2d_0p5_lrmc_only,music,9.789918706676174,0.4096155599511615,0.015113598412696227,95.001221001221,0.14163614163614163,2.011501898154909e-17,1e-08,9.999703035400676e-09
phase2b_2d_0p5_lrmc_only,esprit,9.254561011243286,0.016525921733822013,0.015213355677654182,95.001221001221,0.14163614163614163,2.011501898154909e-17,1e-08,9.999703035400676e-09
phase2b_2d_0p5_lrmc_only,r-music,8.448214265249964,0.01687412747252556,0.015203171916973438,95.001221001221,0.14163614163614163,2.011501898154909e-17,1e-08,9.999703035400676e-09
phase2b_2d_0p5_ss_lrmc,music,4.122039664650106,0.44525115189255554,0.016423513186810058,94.90720390720391,0.15995115995115994,1.7076813969681867e-17,1e-08,9.999746399390143e-09
phase2b_2d_0p5_ss_lrmc,esprit,1.31196340550536,0.01785153174603224,0.016353427472525224,94.90720390720391,0.15995115995115994,1.7076813969681867e-17,1e-08,9.999746399390143e-09
phase2b_2d_0p5_ss_lrmc,r-music,2.171395171269369,0.01734959523808843,0.015602581196577692,94.90720390720391,0.15995115995115994,1.7076813969681867e-17,1e-08,9.999746399390143e-09
phase2b_2d_0p5_lrmc_ss,music,5.395631604445524,0.45749401575090826,0.049154168498161926,95.02442002442002,0.031746031746031744,1.9268102281541125e-17,1e-08,9.99967036063002e-09
phase2b_2d_0p5_lrmc_ss,esprit,2.265060870563422,0.051205066056162436,0.04784952075701945,95.02442002442002,0.031746031746031744,1.9268102281541125e-17,1e-08,9.99967036063002e-09
phase2b_2d_0p5_lrmc_ss,r-music,2.4119071976317823,0.049883558485959746,0.04645048766788989,95.02442002442002,0.031746031746031744,1.9268102281541125e-17,1e-08,9.99967036063002e-09
