scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase2d_2d_1p9_fixelev_baseline,music,7.8517323686178155,0.07118728449328443,,,,,,
phase2d_2d_1p9_fixelev_baseline,esprit,6.99098403367774,0.000414423076923452,,,,,,
phase2d_2d_1p9_fixelev_baseline,r-music,6.871064168837429,0.0006134026862025392,,,,,,
phase2d_2d_1p9_fixelev_ss_only,music,7.386238652106093,0.07097542771672752,,,,,,
phase2d_2d_1p9_fixelev_ss_only,esprit,5.70607101229236,0.00047661965811975516,,,,,,
phase2d_2d_1p9_fixelev_ss_only,r-music,6.835540195949729,0.0007422289377285843,,,,,,
phase2d_2d_1p9_fixelev_lrmc_only,music,8.799566233917806,0.08768273772893813,0.014693448229548243,86.88156288156289,0.4126984126984127,2.6417371108869405e-17,1e-08,9.999657881792033e-09
phase2d_2d_1p9_fixelev_lrmc_only,esprit,9.307414711323124,0.016351348107447986,0.014960510500611288,86.88156288156289,0.4126984126984127,2.6417371108869405e-17,1e-08,9.999657881792033e-09
phase2d_2d_1p9_fixelev_lrmc_only,r-music,9.101327674917805,0.01647511196581235,0.014746163858363786,86.88156288156289,0.4126984126984127,2.6417371108869405e-17,1e-08,9.999657881792033e-09
phase2d_2d_1p9_fixelev_ss_lrmc,music,8.141863148254599,0.08834292368742362,0.01507470976801025,90.8913308913309,0.2954822954822955,2.6557372002323927e-17,1e-08,9.999727396448536e-09
phase2d_2d_1p9_fixelev_ss_lrmc,esprit,8.555402895925184,0.01728134139194175,0.01578100500610455,90.8913308913309,0.2954822954822955,2.6557372002323927e-17,1e-08,9.999727396448536e-09
phase2d_2d_1p9_fixelev_ss_lrmc,r-music,8.455783549510334,0.017324979487180193,0.015473436019535242,90.8913308913309,0.2954822954822955,2.6557372002323927e-17,1e-08,9.999727396448536e-09
phase2d_2d_1p9_fixelev_lrmc_ss,music,7.885458289788109,0.11758053186813314,0.04434874493284412,86.34554334554335,0.12087912087912088,2.687232700352884e-17,1e-08,9.999563621696446e-09
phase2d_2d_1p9_fixelev_lrmc_ss,esprit,8.025936127039225,0.046613929914531185,0.04328800732600552,86.34554334554335,0.12087912087912088,2.687232700352884e-17,1e-08,9.999563621696446e-09
phase2d_2d_1p9_fixelev_lrmc_ss,r-music,8.060488458947747,0.0466863089133087,0.043146445909646905,86.34554334554335,0.12087912087912088,2.687232700352884e-17,1e-08,9.999563621696446e-09
