scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase3c_nula_c_1p9_baseline_t200,music,5.357555221706855,0.07393655592185601,,,,,,
phase3c_nula_c_1p9_baseline_t200,esprit,6.338221531078951,0.00035052429792432785,,,,,,
phase3c_nula_c_1p9_baseline_t200,r-music,6.350352171560908,0.0004865634920634521,,,,,,
phase3c_nula_c_1p9_lrmc_t200,music,2.843203975202103,0.09228677411477412,0.016468498534798273,95.62148962148962,0.0927960927960928,0.0,1e-08,9.999696406713362e-09
phase3c_nula_c_1p9_lrmc_t200,esprit,2.92817552457982,0.01727276446886396,0.016038071428571797,95.62148962148962,0.0927960927960928,0.0,1e-08,9.999696406713362e-09
phase3c_nula_c_1p9_lrmc_t200,r-music,2.786656181999851,0.0179940052503047,0.016446867032967768,95.62148962148962,0.0927960927960928,0.0,1e-08,9.999696406713362e-09
phase3c_nula_c_1p9_lrmc_ss_t200,music,2.8557047111614424,0.08809029902319922,0.016214131379731846,95.62148962148962,0.0927960927960928,0.0,1e-08,9.999696406713362e-09
phase3c_nula_c_1p9_lrmc_ss_t200,esprit,2.72207707539553,0.017440071184371037,0.016242097680097472,95.62148962148962,0.0927960927960928,0.0,1e-08,9.999696406713362e-09
phase3c_nula_c_1p9_lrmc_ss_t200,r-music,2.7978864152571385,0.017769398168499713,0.016374468620268482,95.62148962148962,0.0927960927960928,0.0,1e-08,9.999696406713362e-09
phase3c_nula_nc_1p9_baseline_t200,music,0.017653348732229856,0.07026090891331047,,,,,,
phase3c_nula_nc_1p9_baseline_t200,esprit,5.8637739904185135,0.00034601880341870463,,,,,,
phase3c_nula_nc_1p9_baseline_t200,r-music,6.84866884859504,0.0005754253968248777,,,,,,
phase3c_nula_nc_1p9_lrmc_t200,music,0.17483140623149548,0.09634685848595927,0.01801668595848579,99.4114774114774,0.0463980463980464,0.0,1e-08,9.999817886852808e-09
phase3c_nula_nc_1p9_lrmc_t200,esprit,0.1789945202143254,0.020059320512820444,0.01868873638583644,99.4114774114774,0.0463980463980464,0.0,1e-08,9.999817886852808e-09
phase3c_nula_nc_1p9_lrmc_t200,r-music,0.18498598513233566,0.020072118681319463,0.01835151550671392,99.4114774114774,0.0463980463980464,0.0,1e-08,9.999817886852808e-09
phase3c_nula_nc_1p9_lrmc_ss_t200,music,0.16017834559764835,0.0933733808302813,0.017340650793650606,99.4114774114774,0.0463980463980464,0.0,1e-08,9.999817886852808e-09
phase3c_nula_nc_1p9_lrmc_ss_t200,esprit,0.14475588043163093,0.018913296581194165,0.017668459096459074,99.4114774114774,0.0463980463980464,0.0,1e-08,9.999817886852808e-09
phase3c_nula_nc_1p9_lrmc_ss_t200,r-music,0.14974621031845828,0.019887352258851333,0.018383088888885905,99.4114774114774,0.0463980463980464,0.0,1e-08,9.999817886852808e-09
