scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase5_groupb_1p9_coherent_ss_lrmc_t10,music,1.6822039761821408,0.08850904041514046,0.016014900976800958,98.5958485958486,0.06227106227106227,2.9432840575266016e-17,1e-08,9.999759190007365e-09
phase5_groupb_1p9_coherent_ss_lrmc_t10,esprit,1.8199860674645052,0.01723553406593413,0.015881027106227255,98.5958485958486,0.06227106227106227,2.9432840575266016e-17,1e-08,9.999759190007365e-09
phase5_groupb_1p9_coherent_ss_lrmc_t10,r-music,1.778235354283057,0.019602521611721622,0.017703211599511562,98.5958485958486,0.06227106227106227,2.9432840575266016e-17,1e-08,9.999759190007365e-09
phase5_groupb_1p9_coherent_ss_lrmc_t25,music,1.6937166752067618,0.09288719633699716,0.016783183760683332,98.14041514041514,0.07081807081807082,2.915801489911551e-17,1e-08,9.999718309209635e-09
phase5_groupb_1p9_coherent_ss_lrmc_t25,esprit,1.7702782207883534,0.018029220879121188,0.016609868131868703,98.14041514041514,0.07081807081807082,2.915801489911551e-17,1e-08,9.999718309209635e-09
phase5_groupb_1p9_coherent_ss_lrmc_t25,r-music,1.738863829802049,0.01798948705738743,0.016236720024420784,98.14041514041514,0.07081807081807082,2.915801489911551e-17,1e-08,9.999718309209635e-09
phase5_groupb_1p9_coherent_ss_lrmc_t50,music,1.6309351460850767,0.08971732954822818,0.016168065811966205,97.9010989010989,0.07692307692307693,2.864860040710461e-17,1e-08,9.999765652757278e-09
phase5_groupb_1p9_coherent_ss_lrmc_t50,esprit,1.8422386412965943,0.016988589743588918,0.01562724676434695,97.9010989010989,0.07692307692307693,2.864860040710461e-17,1e-08,9.999765652757278e-09
phase5_groupb_1p9_coherent_ss_lrmc_t50,r-music,1.6716063542580897,0.018196180830279393,0.01640714078144137,97.9010989010989,0.07692307692307693,2.864860040710461e-17,1e-08,9.999765652757278e-09
phase5_groupb_1p9_coherent_ss_lrmc_t100,music,1.8830519435386777,0.09289055579975557,0.016799780586078613,97.98656898656898,0.09645909645909646,2.903725548900249e-17,1e-08,9.9997605423744e-09
phase5_groupb_1p9_coherent_ss_lrmc_t100,esprit,2.0238865247315454,0.018189985836386105,0.01672523687423743,97.98656898656898,0.09645909645909646,2.903725548900249e-17,1e-08,9.9997605423744e-09
phase5_groupb_1p9_coherent_ss_lrmc_t100,r-music,1.946865013381816,0.018619773870574785,0.016742776434675852,97.98656898656898,0.09645909645909646,2.903725548900249e-17,1e-08,9.9997605423744e-09
phase5_groupb_1p9_coherent_ss_lrmc_t200,music,1.7330519869374945,0.08770324493284538,0.016009136019535186,97.86324786324786,0.09401709401709402,2.6205890954869153e-17,1e-08,9.999626801907558e-09
phase5_groupb_1p9_coherent_ss_lrmc_t200,esprit,2.035855111201405,0.01694078986569108,0.015580042002444434,97.86324786324786,0.09401709401709402,2.6205890954869153e-17,1e-08,9.999626801907558e-09
phase5_groupb_1p9_coherent_ss_lrmc_t200,r-music,1.8003174430223503,0.016930240537241067,0.015223291697194018,97.86324786324786,0.09401709401709402,2.6205890954869153e-17,1e-08,9.999626801907558e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t10,music,0.8520221417226036,0.08552509352869543,0.015633698046399115,99.2979242979243,0.03663003663003663,2.700181599348797e-17,1e-08,9.999809550915513e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t10,esprit,0.827560042102273,0.016750630036632207,0.015439270573872422,99.2979242979243,0.03663003663003663,2.700181599348797e-17,1e-08,9.999809550915513e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t10,r-music,0.867650637776934,0.017136595848593707,0.015461109645909021,99.2979242979243,0.03663003663003663,2.700181599348797e-17,1e-08,9.999809550915513e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t25,music,0.49139241669298134,0.08619137020756777,0.015744731868132574,99.43833943833944,0.03418803418803419,2.776720130242423e-17,1e-08,9.999847683558696e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t25,esprit,0.5081918721441822,0.016820251770451874,0.015510783516482033,99.43833943833944,0.03418803418803419,2.776720130242423e-17,1e-08,9.999847683558696e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t25,r-music,0.4859610711111086,0.01714245848595924,0.015499175946277782,99.43833943833944,0.03418803418803419,2.776720130242423e-17,1e-08,9.999847683558696e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t50,music,0.4320080967210787,0.08548708339438199,0.015695809279608265,99.61050061050061,0.029304029304029304,3.046259194110027e-17,1e-08,9.999849412528972e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t50,esprit,0.4425577132912854,0.016636550793649302,0.015326606471307468,99.61050061050061,0.029304029304029304,3.046259194110027e-17,1e-08,9.999849412528972e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t50,r-music,0.4464216703107122,0.017528703663003783,0.015815260195358137,99.61050061050061,0.029304029304029304,3.046259194110027e-17,1e-08,9.999849412528972e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t100,music,0.3791347832949969,0.0874522914529899,0.01609590048840057,99.55555555555556,0.03540903540903541,2.679781092731454e-17,1e-08,9.999835256560555e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t100,esprit,0.3778518636113494,0.01685694114774276,0.015528097802194498,99.55555555555556,0.03540903540903541,2.679781092731454e-17,1e-08,9.999835256560555e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t100,r-music,0.40024306349982874,0.017796459951160176,0.016042411843712964,99.55555555555556,0.03540903540903541,2.679781092731454e-17,1e-08,9.999835256560555e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t200,music,0.30454864944154303,0.08569531135530824,0.015497144932842903,99.72039072039072,0.019536019536019536,2.4004323014679476e-17,1e-08,9.99985152408176e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t200,esprit,0.3271666763867003,0.016842230158728506,0.015507960073257695,99.72039072039072,0.019536019536019536,2.4004323014679476e-17,1e-08,9.99985152408176e-09
phase5_groupb_1p9_noncoherent_ss_lrmc_t200,r-music,0.3264245333162528,0.017780755555554577,0.016034091330889514,99.72039072039072,0.019536019536019536,2.4004323014679476e-17,1e-08,9.99985152408176e-09
