scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase5c_groupb_1p9_coherent_ss_lrmc_gap5,music,1.032484970658487,0.09328776214896224,0.016749164713064417,93.47741147741148,0.21733821733821734,0.0,1e-08,9.999769883312718e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap5,esprit,1.1560165148804609,0.016882168986569034,0.015510833821733377,93.47741147741148,0.21733821733821734,0.0,1e-08,9.999769883312718e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap5,r-music,1.0589799782113511,0.01703622588522585,0.01530963711843733,93.47741147741148,0.21733821733821734,0.0,1e-08,9.999769883312718e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap4,music,0.13577315633406573,0.08501682466422451,0.014762185347986045,92.54212454212454,0.23809523809523808,0.0,1e-08,9.999778153098504e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap4,esprit,0.10099811653658433,0.01629052356532427,0.014948078510377773,92.54212454212454,0.23809523809523808,0.0,1e-08,9.999778153098504e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap4,r-music,0.1218117899763836,0.01692653870573819,0.01520884529914492,92.54212454212454,0.23809523809523808,0.0,1e-08,9.999778153098504e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap3,music,1.4822565332391473,0.08613419963369971,0.015475692307692504,96.24420024420024,0.14163614163614163,0.0,1e-08,9.999787667649665e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap3,esprit,1.377253535430589,0.01713465238095252,0.015803610378511652,96.24420024420024,0.14163614163614163,0.0,1e-08,9.999787667649665e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap3,r-music,1.593541314137141,0.01730067142857158,0.015588713553113247,96.24420024420024,0.14163614163614163,0.0,1e-08,9.999787667649665e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap2,music,4.296416999298341,0.08704479010988996,0.01589140036630077,97.79731379731379,0.08913308913308914,0.0,1e-08,9.999858664928988e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap2,esprit,3.752551822314761,0.017318601953602394,0.015987788156289474,97.79731379731379,0.08913308913308914,0.0,1e-08,9.999858664928988e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap2,r-music,4.126309091035463,0.01796554676434689,0.016200427228327607,97.79731379731379,0.08913308913308914,0.0,1e-08,9.999858664928988e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap1,music,6.389007073737546,0.08627809499389447,0.01622552222222221,99.87667887667888,0.009768009768009768,0.0,1e-08,9.999761561587935e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap1,esprit,5.552412656525767,0.018114115384616162,0.01676721196581311,99.87667887667888,0.009768009768009768,0.0,1e-08,9.999761561587935e-09
phase5c_groupb_1p9_coherent_ss_lrmc_gap1,r-music,5.223703991183535,0.018124661416361165,0.016429597557998114,99.87667887667888,0.009768009768009768,0.0,1e-08,9.999761561587935e-09
phase5c_groupb_1p9_noncoherent_ss_lrmc_gap5,music,0.09351379508986954,0.08626776263736219,0.015739955555555882,99.45299145299145,0.050061050061050064,0.0,1e-08,9.999890403883927e-09
phase5c_groupb_1p9_noncoherent_ss_lrmc_gap5,esprit,0.09249206338105365,0.01735224798534908,0.016008020634920326,99.45299145299145,0.050061050061050064,0.0,1e-08,9.999890403883927e-09
phase5c_groupb_1p9_noncoherent_ss_lrmc_gap5,r-music,0.09361684716196876,0.017596327960927267,0.015881676312579612,99.45299145299145,0.050061050061050064,0.0,1e-08,9.999890403883927e-09
