scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr1,dbf,1.1572445078525517,0.08078765184444446,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr1,music,0.14469968180247447,0.08098763651111081,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr1,root-music,7.069672786215297,0.0005052541222216608,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr1,esprit,7.554367439160829,0.00035013813333345447,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr5,dbf,0.7173755352869486,0.08123068573333359,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr5,music,0.10381356262019595,0.08151649788888865,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr5,root-music,7.047333272367117,0.0005181589999996908,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr5,esprit,7.550498400314517,0.00033578444444467295,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr10,dbf,0.6628736205108807,0.08082084463333411,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr10,music,0.09512498352192887,0.08174017086666278,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr10,root-music,7.041250400157527,0.000501677300002282,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr10,esprit,7.541919064054846,0.00032535302221519183,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr15,dbf,0.6619170695437232,0.08082220097777978,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr15,music,0.0905290846745732,0.08203109904444096,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr15,root-music,7.040863126512868,0.0004977212111090113,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap5_snr15,esprit,7.538880392809098,0.00033650897778665645,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr1,dbf,0.46636478961460176,0.08041864123333774,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr1,music,0.12160283628301241,0.08084492861110892,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr1,root-music,7.3222629676100235,0.0005052144111094902,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr1,esprit,8.595768355105566,0.00033779143333938715,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr5,dbf,0.2177076693517254,0.0802242196666651,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr5,music,0.09710088578695064,0.08123359527778494,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr5,root-music,7.227905774799287,0.000503065877789494,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr5,esprit,8.624377619930783,0.00033965052223336695,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr10,dbf,0.18386833600563457,0.08110656907777451,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr10,music,0.09116442084133554,0.08082774051111927,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr10,root-music,7.22778552242671,0.0005089626444500431,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr10,esprit,8.611221235273407,0.00032900657778898475,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr15,dbf,0.18726096473502993,0.08055457876666716,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr15,music,0.09109063231491839,0.08080376830000467,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr15,root-music,7.2307336832876645,0.0005100876555566679,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap4_snr15,esprit,8.608009780404338,0.00034726013334612717,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap3_snr1,dbf,0.9666831590002273,0.08143159947777147,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap3_snr1,music,0.1445284273391415,0.08093159897777473,,,,,,
phase6_groupb_1p9_noncoherent_control_no_preproc_gap3_snr1,root-music,7.5362927062784975,0.00051333365555062,,,,,,
