scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr1,dbf,0.507289563446887,0.07682217861111126,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr1,music,6.949495766812518,0.07613045667777708,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr1,root-music,8.248781271461723,0.000444891299999199,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr1,esprit,8.26434112028235,0.0003003049333330586,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr5,dbf,0.4990829164144444,0.07856672452222244,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr5,music,6.952645509779685,0.07501743600000181,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr5,root-music,8.235871728511563,0.0004397057555595186,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr5,esprit,8.256918474673826,0.00029991196666777695,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr10,dbf,0.498804000761557,0.07673869004444467,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr10,music,6.965328838540366,0.07720394127777591,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr10,root-music,8.247020704293545,0.00046534708889531533,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr10,esprit,8.24530721035126,0.0003121536999913385,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr15,dbf,0.49878115867142203,0.07673813011110957,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr15,music,6.96397955877676,0.07647690189999927,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr15,root-music,8.247417520508122,0.0004880310777747986,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap5_snr15,esprit,8.240814999922117,0.0003252781888821927,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr1,dbf,0.09915056018683502,0.07594852214444017,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr1,music,6.064503810698545,0.07641537913332741,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr1,root-music,8.306506654170187,0.0004552717444382021,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr1,esprit,7.912956795082087,0.0003071000777792708,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr5,dbf,0.09047471448812297,0.07618812734444025,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr5,music,6.024302141813601,0.07509414643333104,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr5,root-music,8.287266395379685,0.0004507031666730149,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr5,esprit,7.928681091459169,0.0003026830444404267,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr10,dbf,0.08855405716313462,0.07475814122222882,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr10,music,6.036578931782824,0.0739450850666708,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr10,root-music,8.291229670778847,0.00045212276667391257,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr10,esprit,7.932054121182048,0.00030409895554556795,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr15,dbf,0.0884335672839207,0.07531962617778178,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr15,music,6.031804835405154,0.07816002622222448,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr15,root-music,8.293807917300928,0.0005073499999911696,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap4_snr15,esprit,7.93231430125935,0.0003362019333366738,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr1,dbf,2.738569449339991,0.07985064517777775,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr1,music,7.717797179751838,0.07748546020001373,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr1,root-music,9.236523571476262,0.0005566955777772415,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr1,esprit,9.188213888276138,0.0003487709555469741,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr5,dbf,1.3121399373960916,0.08046574251110825,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr5,music,7.664881616846398,0.07093577422222228,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr5,root-music,9.241111432198734,0.00044087468888845806,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr5,esprit,9.189212447824257,0.00028813082222149607,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr10,dbf,1.005874614765634,0.07340256578888849,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr10,music,7.646198271644643,0.07297881136666633,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr10,root-music,9.246144264116325,0.0004742219333344969,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr10,esprit,9.178555515346343,0.00032133072222243045,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr15,dbf,0.9825352191592863,0.07378563007777772,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr15,music,7.650234019810094,0.07143745224444435,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr15,root-music,9.245876935651866,0.0004352605666652178,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap3_snr15,esprit,9.179922482591401,0.00029029392222577774,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr1,dbf,8.062033803067111,0.07973869621111145,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr1,music,9.757473496523959,0.08201909649999824,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr1,root-music,10.577227183725956,0.0005331085222178444,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr1,esprit,10.693418644732937,0.0003359095999969415,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr5,dbf,7.886414375888848,0.08144339548889619,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr5,music,9.734238313435267,0.07669447474444294,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr5,root-music,10.6124991911456,0.00048720655555169087,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr5,esprit,10.691756239789841,0.0003227331222171617,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr10,dbf,8.029653367454229,0.07794769891111729,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr10,music,9.72455420251603,0.07828876282221842,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr10,root-music,10.61880570029591,0.0004838444777769837,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr10,esprit,10.674536113461285,0.0003278764555558761,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr15,dbf,8.147238270089042,0.08489263371111035,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr15,music,9.731880084159407,0.08332153874444197,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr15,root-music,10.615224775542607,0.0005169122111043786,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap2_snr15,esprit,10.67617270772315,0.00033330806666809725,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr1,dbf,7.819011663460342,0.08381540172225,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr1,music,7.314938214536771,0.07840685187777187,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr1,root-music,10.444632619348246,0.0004674183333534327,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr1,esprit,10.518139925589029,0.00031165623333516933,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr5,dbf,7.80541505099168,0.07789243787777964,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr5,music,7.330047043846776,0.07604677098889785,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr5,root-music,10.442059582764434,0.0004471261666644245,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr5,esprit,10.526705761238054,0.00030523493333364766,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr10,dbf,7.785856393965715,0.07446708850001293,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr10,music,7.339019400654047,0.07123411195554218,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr10,root-music,10.445713753998213,0.0004401147444649622,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr10,esprit,10.519321184893506,0.0002964553777742872,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr15,dbf,7.787820714290702,0.0726430847888892,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr15,music,7.335539245038956,0.07102962174444817,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr15,root-music,10.443261431399666,0.0004374508555600995,,,,,,
phase6b_groupb_1p9_coherent_control_no_preproc_gap1_snr15,esprit,10.517428106527774,0.00028901318889095113,,,,,,
