scheme,method,rmse_deg,avg_runtime_sec,avg_lrmc_runtime_sec,avg_lrmc_iterations,lrmc_convergence_rate,avg_lrmc_final_residual,min_lrmc_eigenvalue,min_lrmc_singular_value
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t1,dbf,8.331406619697145,0.017730115977885565,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t1,music,8.22597244819848,0.01863262963306301,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t1,root-music,10.403379931223306,0.0001233373556428382,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t1,esprit,10.296211627248228,8.679866663684758e-05,,,,,,
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t1,dbf,8.115831600440274,0.02228582211102993,0.003884299922320578,98.26177777777778,0.09222222222222222,0.0,1e-08,9.999981742362655e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t1,music,8.047723522562814,0.023444460244464508,0.003833470399850436,98.26177777777778,0.09222222222222222,0.0,1e-08,9.999981742362655e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t1,root-music,8.001209584222455,0.004384543222352578,0.0038429844222393713,98.26177777777778,0.09222222222222222,0.0,1e-08,9.999981742362655e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t1,esprit,7.8428932195410175,0.004264896044452649,0.0038435112667470498,98.26177777777778,0.09222222222222222,0.0,1e-08,9.999981742362655e-09
phase6b_groupb_1p9_coherent_subspacenet_esprit_gap1_snr1_t1,esprit,2.6078598034419853,,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t2,dbf,7.953879879478721,0.01826396856661692,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t2,music,8.111584739876097,0.019686387733258825,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t2,root-music,10.448035017819535,0.000147079788901869,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t2,esprit,10.519397444872926,0.0001017775667423848,,,,,,
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t2,dbf,7.870974050536825,0.02875370798898641,0.005184282611098347,99.18966666666667,0.04877777777777778,0.0,1e-08,9.999988111054185e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t2,music,7.813610884657587,0.030188489277737162,0.0050863362889698085,99.18966666666667,0.04877777777777778,0.0,1e-08,9.999988111054185e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t2,root-music,7.708320123101292,0.005896222888896268,0.0051795642332581335,99.18966666666667,0.04877777777777778,0.0,1e-08,9.999988111054185e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t2,esprit,7.486019731677184,0.005614746010969005,0.00506734874435804,99.18966666666667,0.04877777777777778,0.0,1e-08,9.999988111054185e-09
phase6b_groupb_1p9_coherent_subspacenet_esprit_gap1_snr1_t2,esprit,1.4496916212350677,,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t4,dbf,7.877262369056732,0.018267773877751702,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t4,music,7.4979140907414825,0.01928314296657724,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t4,root-music,10.442241730783131,0.00012413726679450418,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t4,esprit,10.4599184232301,8.837759980492087e-05,,,,,,
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t4,dbf,7.786371869494014,0.023290647755680967,0.004150878977699904,99.709,0.02,0.0,1e-08,9.999990024414228e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t4,music,7.802657896774304,0.025280319722256132,0.004281877922110855,99.709,0.02,0.0,1e-08,9.999990024414228e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t4,root-music,7.600584089862012,0.005964730032978372,0.00522962483329401,99.709,0.02,0.0,1e-08,9.999990024414228e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t4,esprit,7.331826354510714,0.005636275255480238,0.005073168700004721,99.709,0.02,0.0,1e-08,9.999990024414228e-09
phase6b_groupb_1p9_coherent_subspacenet_esprit_gap1_snr1_t4,esprit,0.8017283960922359,,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t8,dbf,7.853684897328373,0.017783060522206344,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t8,music,7.462994388102335,0.018859828355552763,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t8,root-music,10.516008191909172,0.00012722555557047598,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t8,esprit,10.541578963566973,8.866708886772459e-05,,,,,,
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t8,dbf,7.793080285207795,0.022357097088887206,0.003925897566657012,99.94011111111111,0.005555555555555556,0.0,1e-08,9.999991487046835e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t8,music,7.8148685718583195,0.02353842372220121,0.0039036106778019327,99.94011111111111,0.005555555555555556,0.0,1e-08,9.999991487046835e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t8,root-music,7.5010227787956945,0.004435076544471182,0.0038903818000302027,99.94011111111111,0.005555555555555556,0.0,1e-08,9.999991487046835e-09
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t8,esprit,7.170836798304464,0.004346132266674734,0.003913608444447164,99.94011111111111,0.005555555555555556,0.0,1e-08,9.999991487046835e-09
phase6b_groupb_1p9_coherent_subspacenet_esprit_gap1_snr1_t8,esprit,0.607202141232225,,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t16,dbf,7.843430146079095,0.017227882700012236,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t16,music,7.389246807114069,0.01824503711109638,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t16,root-music,10.478855337265989,0.00013125959999241686,,,,,,
phase6b_groupb_1p9_coherent_raw_control_gap1_snr1_t16,esprit,10.46373066790376,8.952519996374677e-05,,,,,,
phase6b_groupb_1p9_coherent_ss_lrmc_control_gap1_snr1_t16,dbf,7.777269193492127,0.022176450722211787,0.0038148319777853127,99.99133333333333,0.0008888888888888889,0.0,1e-08,9.999994527120625e-09
