scheme,method,coherence,gap_deg,snr_db,split,bucket_labels,dataset_cache_status,dataset_path,rmse_deg,avg_runtime_sec,avg_preprocess_runtime_sec,avg_forward_runtime_sec,dataset_pass_runtime_sec,num_test_samples,delta_vs_source_train_cell_rmse_deg,phase6_classical_best_method,phase6_classical_best_rmse_deg,delta_vs_phase6_classical_best_rmse_deg,phase6_direct_learned_rmse_deg,delta_vs_phase6_direct_learned_rmse_deg
phase7e_gb19_coh_g1_s1_antirect_transfer,esprit,coherent,1,1,in_domain_anchor,in_domain_anchor,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr1_45k,0.356298654489588,0.01686312044424186,0.012812868022133545,0.004033617233391852,151.76808399817673,9000,-0.0029255313865270693,esprit,6.648465188914358,-6.29216653442477,0.41471860301387325,-0.05841994852428528
phase7e_gb19_coh_g1_s5_antirect_transfer,esprit,coherent,1,5,coherent_ood,coherent_ood|snr_shift_only,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr5_45k,0.9619530726202372,0.01628248129990728,0.012311304466857109,0.003955392510998839,146.54233169916552,9000,0.6027288867441222,esprit,5.436880022171268,-4.474926949551031,0.37310781096016987,0.5888452616600673
phase7e_gb19_coh_g1_s10_antirect_transfer,esprit,coherent,1,10,coherent_ood,coherent_ood|snr_shift_only,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr10_45k,1.5490974049959438,0.016475443743977747,0.012480430010680317,0.003978754521826179,148.27899369579973,9000,1.189873219119829,esprit,5.4640490124512535,-3.9149516074553095,0.38294376726295204,1.1661536377329917
phase7e_gb19_coh_g1_s15_antirect_transfer,esprit,coherent,1,15,coherent_ood,coherent_ood|snr_shift_only,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr15_45k,1.6128078617873276,0.0163928433890946,0.012451819477641644,0.003925399366824422,147.5355905018514,9000,1.2535836759112127,root-music,5.433483692800381,-3.8206758310130535,0.35861508442075885,1.2541927773665686
phase7e_gb19_coh_g2_s1_antirect_transfer,esprit,coherent,2,1,coherent_ood,coherent_ood|gap_shift_only,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr1_45k,1.9705031589299247,0.01648092666647992,0.012542076244717464,0.003922904488947501,148.32833999831928,9000,1.6112789730538095,esprit,4.587355164896731,-2.616852005966806,0.9976089311513912,0.9728942277785335
phase7e_gb19_coh_g2_s5_antirect_transfer,esprit,coherent,2,5,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr5_45k,2.1838188727393733,0.01661167998893264,0.012635216444174553,0.003959818433523954,149.50511990039377,9000,1.824594686863258,esprit,3.6867241570705422,-1.502905284331169,0.7717173848176546,1.4121014879217186
phase7e_gb19_coh_g2_s10_antirect_transfer,esprit,coherent,2,10,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr10_45k,2.590510999266853,0.016428274489402407,0.01249040522227814,0.003922325055916897,147.85447040462168,9000,2.2312868133907378,esprit,3.7124911044837967,-1.1219801052169438,0.6574691602402387,1.9330418390266142
phase7e_gb19_coh_g2_s15_antirect_transfer,esprit,coherent,2,15,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr15_45k,2.596568061615371,0.016401243599849596,0.012469267111129334,0.003916177955404338,147.61119239864638,9000,2.237343875739256,esprit,3.8602547586799982,-1.2636866970646272,0.6687410599494205,1.9278270016659507
phase7e_gb19_coh_g3_s1_antirect_transfer,esprit,coherent,3,1,coherent_ood,coherent_ood|gap_shift_only,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr1_45k,1.5994662165931077,0.016531075800083474,0.012598229299726276,0.003917271933214376,148.77968220075127,9000,1.2402420307169928,esprit,1.4188364476350155,0.18062976895809224,0.5362930518372808,1.063173164755827
phase7e_gb19_coh_g3_s5_antirect_transfer,esprit,coherent,3,5,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr5_45k,1.8369019871278958,0.01630760226694272,0.012368207044582556,0.003923625655452876,146.76842040248448,9000,1.4776778012517808,esprit,1.1841583399567575,0.6527436471711383,0.33353098173973145,1.5033710053881644
phase7e_gb19_coh_g3_s10_antirect_transfer,esprit,coherent,3,10,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr10_45k,2.127462125722408,0.01614631262244398,0.012240876166926077,0.0038898816670860266,145.31681360199582,9000,1.7682379398462928,esprit,1.1451603176934058,0.9823018080290022,0.28035873185671145,1.8471033938656967
phase7e_gb19_coh_g3_s15_antirect_transfer,esprit,coherent,3,15,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr15_45k,2.1709381092287745,0.01608114372166003,0.01215062271096071,0.003915026077780769,144.73029349494027,9000,1.8117139233526594,esprit,1.1094644965202403,1.0614736127085342,0.2681363680118258,1.9028017412169487
phase7e_gb19_coh_g4_s1_antirect_transfer,esprit,coherent,4,1,coherent_ood,coherent_ood|gap_shift_only,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr1_45k,1.984340546148953,0.016278899544364928,0.012365784655447997,0.0038975999330157518,146.51009589928435,9000,1.625116360272838,root-music,0.1640090130921021,1.8203315330568508,0.24628822941979586,1.738052316729157
phase7e_gb19_coh_g4_s5_antirect_transfer,esprit,coherent,4,5,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr5_45k,2.0962528861321075,0.0162779601776662,0.012348179799937901,0.003914055955499256,146.50164159899577,9000,1.7370287002559923,esprit,0.1050169081193852,1.9912359780127222,0.1477631788273063,1.948489707304801
phase7e_gb19_coh_g4_s10_antirect_transfer,esprit,coherent,4,10,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr10_45k,2.2375562902404926,0.016083185755899954,0.012159939033554919,0.003907831977658336,144.74867180309957,9000,1.8783321043643775,esprit,0.10004248598760732,2.1375138042528854,0.12242651183187934,2.115129778408613
phase7e_gb19_coh_g4_s15_antirect_transfer,esprit,coherent,4,15,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr15_45k,2.2503884668353944,0.015849905944067155,0.011955894677511727,0.0038786581776027256,142.6491534966044,9000,1.8911642809592792,esprit,0.10013248646826864,2.1502559803671257,0.11856878731163657,2.131819679523758
phase7e_gb19_coh_g5_s1_antirect_transfer,esprit,coherent,5,1,coherent_ood,coherent_ood|gap_shift_only,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr1_45k,2.574817363919366,0.016570326944632043,0.012615623244543612,0.003939268633406351,149.13294250168838,9000,2.215593178043251,dbf,1.1127682004196027,1.4620491634997634,0.32978179224891707,2.245035571670449
phase7e_gb19_coh_g5_s5_antirect_transfer,esprit,coherent,5,5,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr5_45k,2.6183280072739956,0.01636418112246449,0.012379097389102551,0.003969282944415075,147.2776301021804,9000,2.2591038213978805,dbf,1.0663982618205565,1.551929745453439,0.24358995204821754,2.374738055225778
phase7e_gb19_coh_g5_s10_antirect_transfer,esprit,coherent,5,10,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr10_45k,2.7179036731785806,0.016036341155685176,0.012109495255578723,0.00391155936674396,144.32707040116657,9000,2.3586794873024655,dbf,0.9189682133425613,1.7989354598360192,0.21289680376324754,2.505006869415333
phase7e_gb19_coh_g5_s15_antirect_transfer,esprit,coherent,5,15,coherent_ood,coherent_ood|joint_gap_snr_shift,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr15_45k,2.7244830892810086,0.01601079704470855,0.012055255733119944,0.003939498333189274,144.09717340237694,9000,2.3652589034048934,dbf,0.7109649057200085,2.013518183561,0.20271735610221525,2.5217657331787935
phase7e_gb19_noncoh_g1_s1_antirect_transfer,esprit,non-coherent,1,1,noncoherent_transfer,noncoherent_transfer|snr_shift_only|gap_shift_only|full_noncoherent_transfer,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap1_snr1_45k,0.33370410773596804,0.016711265344502558,0.012713183277584096,0.003981239121963477,150.40138810052304,9000,-0.025520078140147007,esprit,5.0823079557802595,-4.748603848044292,0.4001531689954606,-0.06644906125949257
phase7e_gb19_noncoh_g1_s5_antirect_transfer,esprit,non-coherent,1,5,noncoherent_transfer,noncoherent_transfer|snr_shift_only|full_noncoherent_transfer,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap1_snr5_45k,0.8441885421048675,0.016472397555525983,0.012515329843988487,0.003940448633576226,148.25157799973385,9000,0.48496435622875245,esprit,0.9243079218827935,-0.08011937977792605,0.3786965637197805,0.465491978385087
phase7e_gb19_noncoh_g1_s10_antirect_transfer,esprit,non-coherent,1,10,noncoherent_transfer,noncoherent_transfer|snr_shift_only|full_noncoherent_transfer,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap1_snr10_45k,1.520711857753838,0.016289882988753057,0.01232924966677092,0.003944241544205902,146.6089468987775,9000,1.161487671877723,esprit,0.41647171343802386,1.1042401443158143,0.37439584573344664,1.1463160120203915
phase7e_gb19_noncoh_g1_s15_antirect_transfer,esprit,non-coherent,1,15,noncoherent_transfer,noncoherent_transfer|snr_shift_only|full_noncoherent_transfer,generated,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap1_snr15_45k,1.6105116082807083,0.016367072844315166,0.012398394444207143,0.003952432278136257,147.30365559883649,9000,1.2512874224045931,esprit,0.42303101030845597,1.1874805979722522,0.3793933533319524,1.2311182549487558
