scheme,method,coherence,gap_deg,snr_db,split,bucket_labels,dataset_cache_status,dataset_path,rmse_deg,avg_runtime_sec,avg_preprocess_runtime_sec,avg_forward_runtime_sec,dataset_pass_runtime_sec,num_test_samples,delta_vs_source_train_cell_rmse_deg,phase6_classical_best_method,phase6_classical_best_rmse_deg,delta_vs_phase6_classical_best_rmse_deg,phase6_direct_learned_rmse_deg,delta_vs_phase6_direct_learned_rmse_deg,phase7e_reference_rmse_deg,delta_vs_phase7e_reference_rmse_deg
phase7f_gb19_coh_g1_s1_mixedft,esprit,coherent,1,1,in_domain_anchor,in_domain_anchor,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr1_45k,0.44811562178967757,0.016274427033404613,0.01224834527777663,0.004012626089000454,146.46984330064151,9000,0.08889143591356252,esprit,6.648465188914358,-6.200349567124681,0.41471860301387325,0.03339701877580431,0.356298654489588,0.09181696730008959
phase7f_gb19_coh_g1_s5_mixedft,esprit,coherent,1,5,coherent_ood,coherent_ood|snr_shift_only,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr5_45k,0.3400691346214651,0.01596389101077673,0.011939120776970716,0.0040113475445606225,143.67501909699058,9000,-0.019155051254649946,esprit,5.436880022171268,-5.096810887549803,0.37310781096016987,-0.033038676338704775,0.9619530726202372,-0.6218839379987722
phase7f_gb19_coh_g1_s10_mixedft,esprit,coherent,1,10,coherent_ood,coherent_ood|snr_shift_only,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr10_45k,0.34535083930858546,0.016256603166564472,0.012188594855756189,0.004054430666838824,146.30942849908024,9000,-0.013873346567529588,esprit,5.4640490124512535,-5.118698173142668,0.38294376726295204,-0.037592927954366584,1.5490974049959438,-1.2037465656873585
phase7f_gb19_coh_g1_s15_mixedft,esprit,coherent,1,15,coherent_ood,coherent_ood|snr_shift_only,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr15_45k,0.351800516153806,0.016082133722426888,0.01205537366669806,0.004013260722179742,144.73920350184198,9000,-0.0074236697223090675,root-music,5.433483692800381,-5.0816831766465755,0.35861508442075885,-0.0068145682669528695,1.6128078617873276,-1.2610073456335216
phase7f_gb19_coh_g2_s1_mixedft,esprit,coherent,2,1,coherent_ood,coherent_ood|gap_shift_only,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr1_45k,1.3767883730184571,0.01631046597792172,0.01225328691131694,0.004043539588708275,146.79419380129548,9000,1.0175641871423422,esprit,4.587355164896731,-3.210566791878273,0.9976089311513912,0.379179441867066,1.9705031589299247,-0.5937147859114675
phase7f_gb19_coh_g2_s5_mixedft,esprit,coherent,2,5,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr5_45k,1.2617496466555664,0.016338577877859483,0.01225794297778177,0.004066912400135253,147.04720090073533,9000,0.9025254607794514,esprit,3.6867241570705422,-2.424974510414976,0.7717173848176546,0.4900322618379118,2.1838188727393733,-0.9220692260838068
phase7f_gb19_coh_g2_s10_mixedft,esprit,coherent,2,10,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr10_45k,1.2397483315705602,0.016256002578037117,0.012223326777780635,0.0040190327891808314,146.30402320233406,9000,0.8805241456944451,esprit,3.7124911044837967,-2.4727427729132367,0.6574691602402387,0.5822791713303215,2.590510999266853,-1.3507626676962927
phase7f_gb19_coh_g2_s15_mixedft,esprit,coherent,2,15,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr15_45k,1.20221287457213,0.01640428250013954,0.01212830024438962,0.004261025388919128,147.63854250125587,9000,0.8429886886960151,esprit,3.8602547586799982,-2.658041884107868,0.6687410599494205,0.5334718146227097,2.596568061615371,-1.394355187043241
phase7f_gb19_coh_g3_s1_mixedft,esprit,coherent,3,1,coherent_ood,coherent_ood|gap_shift_only,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr1_45k,0.5596196118952396,0.01624646295539181,0.01221337482221942,0.004019435866612993,146.2181665985263,9000,0.20039542601912452,esprit,1.4188364476350155,-0.8592168357397759,0.5362930518372808,0.023326560057958745,1.5994662165931077,-1.039846604697868
phase7f_gb19_coh_g3_s5_mixedft,esprit,coherent,3,5,coherent_ood,coherent_ood|joint_gap_snr_shift,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr5_45k,0.49191556419175253,0.01611879586647006,0.012075982799908767,0.004029098244597359,145.06916279823054,9000,0.1326913783156375,esprit,1.1841583399567575,-0.6922427757650049,0.33353098173973145,0.15838458245202108,1.8369019871278958,-1.3449864229361432
