scheme,method,coherence,gap_deg,snr_db,split,bucket_labels,dataset_cache_status,dataset_path,rmse_deg,avg_runtime_sec,avg_preprocess_runtime_sec,avg_forward_runtime_sec,dataset_pass_runtime_sec,num_test_samples,delta_vs_source_train_cell_rmse_deg,phase6_classical_best_method,phase6_classical_best_rmse_deg,delta_vs_phase6_classical_best_rmse_deg,phase6_direct_learned_rmse_deg,delta_vs_phase6_direct_learned_rmse_deg,phase7e_reference_rmse_deg,delta_vs_phase7e_reference_rmse_deg,phase7f_reference_rmse_deg,delta_vs_phase7f_reference_rmse_deg
phase7g_gb19_coh_g1_s1_boundary2deg,esprit,coherent,1,1,in_domain_anchor,in_domain_anchor,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr1_45k,0.39112306425785714,0.016278693711585624,0.012231627822329756,0.004032869977902414,146.50824340427062,9000,0.0318988783817421,esprit,6.648465188914358,-6.257342124656501,0.41471860301387325,-0.02359553875601611,0.356298654489588,0.03482440976826917,0.44811562178967757,-0.05699255753182042
phase7g_gb19_coh_g1_s5_boundary2deg,esprit,coherent,1,5,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr5_45k,0.30274022003601625,0.015949534888844936,0.011887527855242499,0.004047685777567999,143.54581399960443,9000,-0.05648396584009879,esprit,5.436880022171268,-5.134139802135252,0.37310781096016987,-0.07036759092415362,0.9619530726202372,-0.6592128525842209,0.3400691346214651,-0.03732891458544885
phase7g_gb19_coh_g1_s10_boundary2deg,esprit,coherent,1,10,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr10_45k,0.30890988879119247,0.016326313710997863,0.012204951222306894,0.00410689072208091,146.93682339898078,9000,-0.05031429708492258,esprit,5.4640490124512535,-5.155139123660061,0.38294376726295204,-0.07403387847175957,1.5490974049959438,-1.2401875162047513,0.34535083930858546,-0.03644095051739299
phase7g_gb19_coh_g1_s15_boundary2deg,esprit,coherent,1,15,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr15_45k,0.3135074658926093,0.016157844211453467,0.012095211588803471,0.004048059755768109,145.42059790308122,9000,-0.04571671998350574,root-music,5.433483692800381,-5.119976226907772,0.35861508442075885,-0.04510761852814954,1.6128078617873276,-1.2993003958947182,0.351800516153806,-0.03829305026119667
phase7g_gb19_coh_g2_s1_boundary2deg,esprit,coherent,2,1,coherent_ood,coherent_ood|coherent_2deg_boundary,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr1_45k,1.2917605357363582,0.016127539789084242,0.01210029445551077,0.004013150044619882,145.14785810175817,9000,0.9325363498602431,esprit,4.587355164896731,-3.295594629160372,0.9976089311513912,0.29415160458496703,1.9705031589299247,-0.6787426231935665,1.3767883730184571,-0.08502783728209895
phase7g_gb19_coh_g2_s5_boundary2deg,esprit,coherent,2,5,coherent_ood,coherent_ood|coherent_2deg_boundary,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr5_45k,1.1270741041278884,0.01648552375546165,0.012343632933011071,0.004127058166596625,148.36971379915485,9000,0.7678499182517734,esprit,3.6867241570705422,-2.559650052942654,0.7717173848176546,0.3553567193102338,2.1838188727393733,-1.0567447686114848,1.2617496466555664,-0.134675542527678
phase7g_gb19_coh_g2_s10_boundary2deg,esprit,coherent,2,10,coherent_ood,coherent_ood|coherent_2deg_boundary,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr10_45k,1.0751377172655532,0.016872127833562747,0.012620238578179852,0.00423717143322574,151.84915050206473,9000,0.7159135313894381,esprit,3.7124911044837967,-2.6373533872182433,0.6574691602402387,0.41766855702531447,2.590510999266853,-1.5153732820012997,1.2397483315705602,-0.164610614305007
phase7g_gb19_coh_g2_s15_boundary2deg,esprit,coherent,2,15,coherent_ood,coherent_ood|coherent_2deg_boundary,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr15_45k,1.0422559976555053,0.021083107966800324,0.01659276455561889,0.00447425227797228,189.7479717012029,9000,0.6830318117793902,esprit,3.8602547586799982,-2.817998761024493,0.6687410599494205,0.3735149377060848,2.596568061615371,-1.5543120639598658,1.20221287457213,-0.15995687691662486
phase7g_gb19_coh_g3_s1_boundary2deg,esprit,coherent,3,1,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr1_45k,0.5350786503199001,0.02146155377811778,0.016907256300089,0.004538486444436583,193.15398400306003,9000,0.17585446444378505,esprit,1.4188364476350155,-0.8837577973151154,0.5362930518372808,-0.0012144015173807254,1.5994662165931077,-1.0643875662732076,0.5596196118952396,-0.02454096157533947
phase7g_gb19_coh_g3_s5_boundary2deg,esprit,coherent,3,5,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr5_45k,0.44536087174798383,0.020971328400295332,0.01645128473332928,0.004504561755845013,188.74195560265798,9000,0.08613668587186879,esprit,1.1841583399567575,-0.7387974682087737,0.33353098173973145,0.11182989000825239,1.8369019871278958,-1.391541115379912,0.49191556419175253,-0.0465546924437687
phase7g_gb19_coh_g3_s10_boundary2deg,esprit,coherent,3,10,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr10_45k,0.4308749433722456,0.02092471885543394,0.016394664855706245,0.004514558566494896,188.32246969890548,9000,0.07165075749613053,esprit,1.1451603176934058,-0.7142853743211601,0.28035873185671145,0.15051621151553413,2.127462125722408,-1.6965871823501624,0.49865113714334247,-0.0677761937710969
phase7g_gb19_coh_g3_s15_boundary2deg,esprit,coherent,3,15,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr15_45k,0.43006424709615104,0.020913940466804583,0.016358551188721322,0.004539706033460485,188.22546420124127,9000,0.070840061220036,esprit,1.1094644965202403,-0.6794002494240892,0.2681363680118258,0.16192787908432527,2.1709381092287745,-1.7408738621326234,0.49346774612858474,-0.0634034990324337
phase7g_gb19_coh_g4_s1_boundary2deg,esprit,coherent,4,1,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr1_45k,0.3756188387903702,0.021199905711103282,0.016674772688737398,0.004509388155019325,190.79915139992954,9000,0.01639465291425518,root-music,0.1640090130921021,0.2116098256982681,0.24628822941979586,0.12933060937057436,1.984340546148953,-1.6087217073585827,0.34808125879275265,0.02753757999761758
phase7g_gb19_coh_g4_s5_boundary2deg,esprit,coherent,4,5,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr5_45k,0.240588343724972,0.020888290511431276,0.016356161155841417,0.004516649267021825,187.99461460288148,9000,-0.11863584215114303,esprit,0.1050169081193852,0.13557143560558682,0.1477631788273063,0.09282516489766571,2.0962528861321075,-1.8556645424071354,0.23900648226612117,0.0015818614588508362
phase7g_gb19_coh_g4_s10_boundary2deg,esprit,coherent,4,10,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr10_45k,0.2312126745718609,0.02067559074427441,0.01615019352204399,0.0045098955773929545,186.0803166984697,9000,-0.12801151130425414,esprit,0.10004248598760732,0.13117018858425358,0.12242651183187934,0.10878616273998155,2.2375562902404926,-2.006343615668632,0.24288975753134218,-0.011677082959481278
phase7g_gb19_coh_g4_s15_boundary2deg,esprit,coherent,4,15,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap4_snr15_45k,0.22908317757165053,0.02061431983300847,0.01609742149963535,0.004501309921926198,185.52887849707622,9000,-0.1301410083044645,esprit,0.10013248646826864,0.1289506911033819,0.11856878731163657,0.11051439026001396,2.2503884668353944,-2.021305289263744,0.24229917070670126,-0.01321599313505073
phase7g_gb19_coh_g5_s1_boundary2deg,esprit,coherent,5,1,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr1_45k,0.9644408288475057,0.021400065277502614,0.01683705068894455,0.004547545332623283,192.60058749752352,9000,0.6052166429713907,dbf,1.1127682004196027,-0.14832737157209697,0.32978179224891707,0.6346590365985887,2.574817363919366,-1.6103765350718604,0.8887859953800971,0.07565483346740864
phase7g_gb19_coh_g5_s5_boundary2deg,esprit,coherent,5,5,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr5_45k,0.6883775515897643,0.02121755373351819,0.016685945600329433,0.0045160634337096574,190.95798360166373,9000,0.3291533657136493,dbf,1.0663982618205565,-0.3780207102307922,0.24358995204821754,0.4447875995415468,2.6183280072739956,-1.9299504556842313,0.6073448884823192,0.08103266310744517
phase7g_gb19_coh_g5_s10_boundary2deg,esprit,coherent,5,10,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr10_45k,0.6210270591698233,0.02082248002216996,0.016291254466522433,0.00451576695565988,187.40232019952964,9000,0.2618028732937082,dbf,0.9189682133425613,-0.29794115417273803,0.21289680376324754,0.4081302554065757,2.7179036731785806,-2.0968766140087576,0.5320965422381106,0.08893051693171261
phase7g_gb19_coh_g5_s15_boundary2deg,esprit,coherent,5,15,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap5_snr15_45k,0.5870032866735052,0.020341860433134976,0.015802817677904386,0.004523483533101777,183.07674389821477,9000,0.22777910079739017,dbf,0.7109649057200085,-0.12396161904650327,0.20271735610221525,0.38428593057128996,2.7244830892810086,-2.1374798026075035,0.4903506966069668,0.09665259006653842
phase7g_gb19_noncoh_g1_s1_boundary2deg,esprit,non-coherent,1,1,noncoherent_transfer,noncoherent_transfer,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_noncoherent_gap1_snr1_45k,0.31655849902206246,0.021485806266634933,0.016952086122415493,0.004517920244426933,193.3722563997144,9000,-0.04266568685405259,esprit,5.0823079557802595,-4.765749456758197,0.4001531689954606,-0.08359466997339815,0.33370410773596804,-0.01714560871390558,0.36932044892196053,-0.052761949899898075
