scheme,method,coherence,gap_deg,snr_db,split,bucket_labels,dataset_cache_status,dataset_path,rmse_deg,avg_runtime_sec,avg_preprocess_runtime_sec,avg_forward_runtime_sec,dataset_pass_runtime_sec,num_test_samples,realized_mean_gap_deg,realized_median_gap_deg,realized_min_gap_deg,realized_max_gap_deg,delta_vs_source_train_cell_rmse_deg,phase6_classical_best_method,phase6_classical_best_rmse_deg,delta_vs_phase6_classical_best_rmse_deg,phase6_direct_learned_rmse_deg,delta_vs_phase6_direct_learned_rmse_deg,phase7e_reference_rmse_deg,delta_vs_phase7e_reference_rmse_deg,phase7f_reference_rmse_deg,delta_vs_phase7f_reference_rmse_deg,phase7g_reference_rmse_deg,delta_vs_phase7g_reference_rmse_deg,phase7h_reference_rmse_deg,delta_vs_phase7h_reference_rmse_deg
phase7i_gb19_coh_g1_s1_randomgapft,esprit,coherent,1,1,in_domain_anchor,in_domain_anchor,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr1_45k,0.5042181441862165,0.016196209899828923,0.012147485366951313,0.004035362411251602,145.76588909846032,9000,1.0,1.0,0.9999999999999982,1.0000000000000027,0.14499395831010142,esprit,6.648465188914358,-6.144247044728141,0.41471860301387325,0.08949954117234321,0.356298654489588,0.1479194896966285,0.44811562178967757,0.0561025223965389,0.39112306425785714,0.11309507992835932,,
phase7i_gb19_coh_g1_s5_randomgapft,esprit,coherent,1,5,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr5_45k,0.37134001479651185,0.01584941513296993,0.011838421088966747,0.003997670999508248,142.64473619672935,9000,1.0,1.0,0.9999999999999982,1.0000000000000027,0.01211582892039681,esprit,5.436880022171268,-5.065540007374756,0.37310781096016987,-0.0017677961636580197,0.9619530726202372,-0.5906130578237254,0.3400691346214651,0.031270880175046756,0.30274022003601625,0.0685997947604956,,
phase7i_gb19_coh_g1_s10_randomgapft,esprit,coherent,1,10,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr10_45k,0.3880231216077909,0.016053039466334868,0.011991228166793008,0.004048326811080591,144.47735519701382,9000,1.0,1.0,0.9999999999999982,1.0000000000000027,0.028798935731675857,esprit,5.4640490124512535,-5.076025890843463,0.38294376726295204,0.00507935434483886,1.5490974049959438,-1.1610742833881529,0.34535083930858546,0.042672282299205444,0.30890988879119247,0.07911323281659843,,
phase7i_gb19_coh_g1_s15_randomgapft,esprit,coherent,1,15,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap1_snr15_45k,0.39583430932712477,0.016018538989378914,0.011963135222690956,0.004041920944408048,144.16685090441024,9000,1.0,1.0,0.9999999999999982,1.0000000000000027,0.036610123451009724,root-music,5.433483692800381,-5.037649383473257,0.35861508442075885,0.03721922490636592,1.6128078617873276,-1.2169735524602028,0.351800516153806,0.04403379317331879,0.3135074658926093,0.08232684343451546,,
phase7i_gb19_coh_g2_s1_randomgapft,esprit,coherent,2,1,coherent_ood,coherent_ood|coherent_2deg_boundary,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr1_45k,1.415758798557056,0.016197753489179175,0.012135029522624487,0.0040493261107799805,145.77978140261257,9000,2.0,2.0,1.9999999999999964,2.0000000000000027,1.0565346126809412,esprit,4.587355164896731,-3.1715963663396742,0.9976089311513912,0.41814986740566495,1.9705031589299247,-0.5547443603728686,1.3767883730184571,0.038970425538598974,1.2917605357363582,0.12399826282069792,,
phase7i_gb19_coh_g2_s5_randomgapft,esprit,coherent,2,5,coherent_ood,coherent_ood|coherent_2deg_boundary,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr5_45k,1.2475040557743946,0.016159453477244824,0.012096917577488864,0.0040492615329308645,145.43508129520342,9000,2.0,2.0,1.9999999999999964,2.0000000000000027,0.8882798698982796,esprit,3.6867241570705422,-2.4392201012961476,0.7717173848176546,0.47578667095674,2.1838188727393733,-0.9363148169649786,1.2617496466555664,-0.014245590881171832,1.1270741041278884,0.12042995164650616,,
phase7i_gb19_coh_g2_s10_randomgapft,esprit,coherent,2,10,coherent_ood,coherent_ood|coherent_2deg_boundary,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr10_45k,1.1628256421424934,0.016159949878088404,0.01209004267809602,0.0040563812442188565,145.43954890279565,9000,2.0,2.0,1.9999999999999964,2.0000000000000027,0.8036014562663784,esprit,3.7124911044837967,-2.549665462341303,0.6574691602402387,0.5053564819022547,2.590510999266853,-1.4276853571243595,1.2397483315705602,-0.07692268942806679,1.0751377172655532,0.08768792487694022,,
phase7i_gb19_coh_g2_s15_randomgapft,esprit,coherent,2,15,coherent_ood,coherent_ood|coherent_2deg_boundary,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap2_snr15_45k,1.1351671064083786,0.016155062266651334,0.012087353066793488,0.004054187655526524,145.395560399862,9000,2.0,2.0,1.9999999999999964,2.0000000000000027,0.7759429205322635,esprit,3.8602547586799982,-2.7250876522716196,0.6687410599494205,0.46642604645895813,2.596568061615371,-1.4614009552069924,1.20221287457213,-0.06704576816375152,1.0422559976555053,0.09291110875287334,,
phase7i_gb19_coh_g3_s1_randomgapft,esprit,coherent,3,1,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr1_45k,0.6454482411821318,0.016290992966555576,0.012196940444125276,0.004080514233281267,146.6189366990002,9000,3.0,3.0,2.9999999999999964,3.0000000000000027,0.2862240553060168,esprit,1.4188364476350155,-0.7733882064528836,0.5362930518372808,0.10915518934485102,1.5994662165931077,-0.9540179754109759,0.5596196118952396,0.08582862928689228,0.5350786503199001,0.11036959086223175,,
phase7i_gb19_coh_g3_s5_randomgapft,esprit,coherent,3,5,coherent_ood,coherent_ood,loaded,D:\workspace1\SubspaceNet\data\datasets\phase6_groupb_1p9_coherent_gap3_snr5_45k,0.5457300501290665,0.016038460966413065,0.011975725088772985,0.004049366799687656,144.34614869771758,9000,3.0,3.0,2.9999999999999964,3.0000000000000027,0.18650586425295146,esprit,1.1841583399567575,-0.638428289827691,0.33353098173973145,0.21219906838933505,1.8369019871278958,-1.2911719369988293,0.49191556419175253,0.05381448593731397,0.44536087174798383,0.10036917838108267,,
