model_id,model_name,bucket_name,num_cells,mean_rmse_deg,mean_runtime_sec
C,Model C,in_domain_anchor,1,1.4384293444698049,0.013845855011080857
C,Model C,coherent_2deg_boundary,4,6.1139335158440495,0.01373565405838599
C,Model C,coherent_ood,19,2.5025755558562004,0.013884665045613897
C,Model C,noncoherent_transfer,20,1.4310142157470473,0.014327019105522776
C,Model C,coherent_random_gap,4,6.549423268137412,0.014667102149948024
C,Model C,noncoherent_random_gap,4,5.1614513004867595,0.014266648238929014
A,Model A,in_domain_anchor,1,0.9062344149001699,0.00699563010006548
A,Model A,coherent_2deg_boundary,4,1.7524008584723365,0.0068308567611610575
A,Model A,coherent_ood,19,1.0854825458489339,0.006802311266216584
A,Model A,noncoherent_transfer,20,0.724408441046297,0.006853364722751496
A,Model A,coherent_random_gap,4,4.967729120733172,0.006927030366585112
A,Model A,noncoherent_random_gap,4,4.4977393859270025,0.006876991402923724
B,Model B,in_domain_anchor,1,1.3451224621262372,0.017109707311028614
B,Model B,coherent_2deg_boundary,4,1.743608515696923,0.01666568894176291
B,Model B,coherent_ood,19,1.157406903351707,0.01658750823400275
B,Model B,noncoherent_transfer,20,0.7478177639095309,0.01666373281512739
B,Model B,coherent_random_gap,4,4.783099348721812,0.01655916352781383
B,Model B,noncoherent_random_gap,4,4.262610739440543,0.01675709940279032
